編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,臺北捷運車站無障礙設施異常公告,臺北大眾捷運股份有限公司,台北市政府,,,1,,,無障礙設施,
2,臺北市公有零售市場行情,臺北市市場處,台北市政府,,,1843,,,"日期,種類,市場,品名,平均(元/公斤)",
3,列管後備軍人動態統計表,臺北市政府兵役局,台北市政府,,,7,,,"軍階,役?,上月列管人數,增加數小計,增加數退伍報到,增加數停役報到,增加數零退報到,增加數遷入,增加數轉役入,增加數其他,減少數小計,減少數遷出,減少數志願服役,減少數轉役出,減少數免役,減少數回役,減少數除役,減少數禁役,減少數死亡,減少數其他,本月列管人數,本月中出國,本月中失蹤人口,本月中失蹤撤銷,本月中回國,本月中區內住變,備註",
4,臺北市公司登記報表,臺北市商業處,台北市政府,,,36KB,,,行政區、行業別、組織別,
5,臺北市區民活動中心資料,臺北市政府民政局,台北市政府,,,158,,,編號(serial_number_1)、區(distrrict)、區活動中心編號(serial_number_2)、區民活動中心名稱(name)、地址(address),
6,臺北市固定里民活動場所資料,臺北市政府民政局,台北市政府,,,293,,,編號(serial_number_1)、區(district)、里民活動中心編號(serial_number_2)、里(borough)、地址(address),
7,交通事故資料,臺北市政府警察局交通警察大隊,台北市政府,,,104,,,發生時間、地點、死傷人數、車種、性別、年齡、天候、速限、道路型態、事故位置。,
8,臺北市固定測速照相地點表,臺北市政府警察局交通警察大隊,台北市政府,,,139,,,編號、功能、固定桿、設置地點、轄區、拍攝方向、速限,
9,臺北市核准公司設立變更解散清冊,臺北市商業處,台北市政府,,,222k,,,序號、統一編號、公司名稱、公司地址、負責人、設立日期,
10,臺北市核准商業設立、變更及歇業登記等異動資料清冊,臺北市商業處,台北市政府,,,428筆,,,序號、統一編號、商業名稱、商業地址、組織種類、主營業項目、設立日期,
11,營業場所投保公共意外險清冊,臺北市商業處,台北市政府,,,2578筆,,,序號、統一編號、類別、公司/商號名稱、營業地址、保單到期日,
12,臺北市登記家數統計表(依行業別及行政區),臺北市商業處,台北市政府,,,7KB,,,行業別、行政區、組織,
13,臺北市合法八大行業業者清冊,臺北市商業處,台北市政府,,,141筆,,,序號、公司/商業名稱、 統一編號、 經營行業、行政區、 營業場所地址、公共意外險保單到期日、備註,
14,臺北市商圈通訊錄,臺北市商業處,台北市政府,,,142,,,分區、商圈名稱、組織或里辦公處、組織代表、職稱、聯絡電話、傳真、手機、商圈通訊地址、電子信箱,
15,颱風豪雨期間外租機械佈設點,臺北市政府工務局水利工程處,台北市政府,,,,,,行政區、佈設地點、機具種類及數量、現場指揮人員及聯絡電話、承攬廠商,
16,役男申請複檢案件統計表,臺北市政府兵役局,台北市政府,,,5,,,"複檢醫院,公費人數,自費人數,合計",
17,公務出國報告,臺北市政府研究發展考核委員會,台北市政府,,,,,,統識別號、計畫名稱、報告名稱、電子全文檔、計畫主辦機關、出國人員、前往地區、出國類別、出國期間、報告日期、主題分類、施政分類、關鍵詞、報告書頁數、報告內容摘要,
18,臺北市水質監測資訊,臺北自來水事業處,台北市政府,,,91,,,"1.update_date : 日期
2.update_time : 時間
3.qua_id : 監控站ID
4.code_name :  監控站名稱
5.longitude : 經度
6.latitude: 緯度
7.qua_cntu: 濁度(NTU)
8.qua_cl:  餘氯(mg/L)
9.qua_ph: 酸度(pH)
10.偵測值-9係維修中，暫停偵測。",
19,今日氣象資訊,,台北市政府,,,2418,,,今日氣象資訊主要欄位說明,
20,一週氣象資訊,,台北市政府,,,330,,,一週氣象資訊主要欄位說明,
21,市政網站整合平台之最新消息,臺北市政府資訊局,台北市政府,,,823,,,市政網站整合平台之最新消息主要欄位說明,
22,學習型機構,,台北市政府,,,404,,,學習型機構主要欄位說明,
23,臺北市企業營運總部分布圖,臺北市政府產業發展局,台北市政府,,,76,,,企業名稱、公司地址、產業類別、座標(TWD97)、認定函效期,
24,臺北市加油站及加氣站分布圖,臺北市政府產業發展局,台北市政府,,,77,,,行政區、名稱、站名、供油廠商、地址、電話、營業時間、加油站、加氣站、座標(TWD97),
25,臺北市登記工廠分佈圖及基本資料,臺北市政府產業發展局,台北市政府,,,1137,,,編號、工廠名稱、地址、座標(TWD97)、負責人,
26,臺北市公用天然氣導管承裝業業者,臺北市政府產業發展局,台北市政府,,,39,,,承裝業名稱、證號、營利事業統一編號、營業地址、負責人姓名、核准日期/文號,
27,臺北市電器承裝業業者,臺北市政府產業發展局,台北市政府,,,801,,,承裝業名稱、證號、營利事業統一編號、營業地址、負責人姓名、核設日期/文號,
28,臺北市自來水管承裝商業者,臺北市政府產業發展局,台北市政府,,,479,,,承裝商名稱、證號、營業地址、負責人姓名,
29,臺北市政府委託研究案建議事項採行情形,臺北市政府研究發展考核委員會,台北市政府,,,,,,建議事項、採行情形、辦理機關、採行等級。,
30,107年度花卉批發市場休市日資訊,臺北市市場處,台北市政府,,,,,,檔案,
31,107年度畜產批發市場休市日資訊,臺北市市場處,台北市政府,,,66,,,檔案,
32,107年度農產(果菜)批發市場休市日資訊,臺北市市場處,台北市政府,,,65,,,檔案,
33,107年度漁產批發市場休市日資訊,臺北市市場處,台北市政府,,,67,,,檔案,
34,替代役備役列管人數分析統計表,臺北市政府兵役局,台北市政府,,,24,,,"組別,梯退,零退,遷入,小計",
35,臺北市私立及非營利幼兒園通訊資料,臺北市政府教育局,台北市政府,,,532,,,行政區別、設立別、園名、電話、地址、核定招收總人數,
36,役男徵兵檢查BMI值統計表,臺北市政府兵役局,台北市政府,,,43,,,"BMI值體位,人數,百分比,總計",
37,臺北市停水資訊-(大臺北地區),臺北自來水事業處,台北市政府,,,6,,,"SW_No：停水案件系統代碼、FS_Date：預定開始停水日期、FC_Date：預定最後通水日期、SW_Area：停水區域、Description：停水通知內容、PubDate：公告日期、StopWaterSection_twd97：停水區域(採TWD97座標，以WKT表示)、StopWaterSection_twd97_wgs84(採WGS84座標，以WKT表示)：
",
38,役男徵兵檢查體位判等因素分析統計表,臺北市政府兵役局,台北市政府,,,193,,,"項次,病名,常備役暨常備役甲,常備役乙,常備役暨替代役甲,替代役乙,免役,體位未定,專科檢查,合計",
39,臺北市立動物園_行事曆,臺北市立動物園,台北市政府,,,355,,,類別、標題、摘要說明、簡介、起始日期、結束日期、時間、地點、WGS84座標系統(WKT格式)、上架日期、下架日期、關鍵字、圖片說明、圖片URL、網頁URL位址、地標、資料更新日期,
40,役男徵兵檢查人數統計表,臺北市政府兵役局,台北市政府,,,13,,,"年次,判定體位檢查人數,判定體位常備役體位暨常甲,判定體位常備役乙等,判定體位替代役體位暨替甲,判定體位替代役乙等,判定體位免役體位,判定體位體位未定,判定體位專科檢查,身心障礙書面審核,役男體檢住所檢查,役男體檢重點檢查,未受檢查合計,未受檢查在學緩徵,未受檢查報考大專,未受檢查現役軍警,未受檢查因素緩徵,未受檢查出境,未受檢查僑民役男,未受檢查其他",
41,臺北市廢棄物處理場再生土領用方式及領據,臺北市政府環境保護局,台北市政府,,,3,,,再生土領用方式、再生土領據、再生土領用地點,
42,臺北市文化快遞資訊,臺北市政府文化局,台北市政府,,,657,,,"後續欄位說明順序為[欄位,型別,長度,說明]
[ID,INT,4,活動編號，為固定之唯一值(流水號)]
[EventName,Nvarchar,100,活動名稱]
[ShowGroupName,Nvarchar,100,演出單位]
[EventTypeID,INT,4,資料類別]
1.表演萬象
2.展覽廣場
3.音樂現場
4.講座研習
5.電影瞭望
6.城市萬花筒
7.親子活動
8.城外行腳
[DurationStart,datetime,,活動開始時間]
[DurationEnd,datetime,,活動結束時間]
[IsCharge,INT,4,是否免費]
0:否,1:是
[Fee,Nvarchar,100,票價]
[ShoppingUrl,Nvarchar,200,售票網址]
[ContactName,Nvarchar,50,活動連絡人]
[ContactTel,nvarchar,50,活動連絡電話]
[ContactFax,Nvarchar,30,活動傳真電話]
[BriefIntroduction,ntext,,活動簡介]
[vContent,ntext,,活動內容]
[EventUrl,Nvarchar,200,活動網址]
[YouTubeUrl,Nvarchar,200,YouTube影音網址]
[ImageFile,varchar,50,大圖檔案名稱(提供無版權爭議且可對外流通供應之照片，以讓加值業者可透過本網址連結使用)]
[LogoImageFile,varchar,50,小圖檔案名稱(提供無版權爭議且可對外流通供應之照片，以讓加值業者可透過本網址連結使用)]
[InsertTime,Datetime,活動發布時間]
[dtStart,Datetime,,場次起始日期]
[dtEnd,Datetime,,場次結束日期]
[timeStart,Varchar,5,場次開始時間]
[Location,Nvarchar,500,場次地點]
[CityID,Int,4,縣市名]
[AreaID,Int,4,區域名]
[Address,Nvarchar,100,場次地址]
[longitude,Varchar,30,經度]
[latitude,Varchar,30,緯度]

註ㄧ：上述所有欄位若為空值在json格式，輸出資料會以「null」字樣呈現。
註二：上述所有欄位若為空值在xml格式，輸出資料皆不會帶值。",
43,臺北市嬰幼兒照顧服務-兒童托育資源中心,臺北市政府社會局,台北市政府,,,1,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
44,臺北市身心障礙者服務-臺北市身心障礙福利會館,臺北市政府社會局,台北市政府,,,1,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
45,臺北市銀髮族服務-公立老人安養護機構,臺北市政府社會局,台北市政府,,,2,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
46,臺北市銀髮族服務-公辦民營老人安養護機構,臺北市政府社會局,台北市政府,,,,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
47,臺北市銀髮族服務-老人公寓,臺北市政府社會局,台北市政府,,,4,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
48,臺北市銀髮族服務-老人營養餐飲,臺北市政府社會局,台北市政府,,,21,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
49,臺北市銀髮族服務-居家服務,臺北市政府社會局,台北市政府,,,13,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
50,臺北市銀髮族服務-長青學苑,臺北市政府社會局,台北市政府,,,26,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
51,臺北市銀髮族服務-臺北市各老人服務中心,臺北市政府社會局,台北市政府,,,14,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
52,臺北市銀髮族服務-臺北市各區公所,臺北市政府社會局,台北市政府,,,,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
53,臺北市銀髮族服務-臺北市老人日間照顧中心,臺北市政府社會局,台北市政府,,,,,,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,
