編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,桃園市臨時暨短期照顧服務之服務單位,社會局,桃園市政府,,,,139,157,委辦單位(臨時及短期照顧服務服務單位)、電話(臨時暨短期照顧服務單位電話)、地址(臨時及短期照顧服務服務單位)、服務對象(臨時暨短期照顧服務單位服務對象)、服務內容(臨時暨短期照顧服務服務內容),
2,桃園市登革熱確診個案分布,衛生局,桃園市政府,,,,427,748,分類(境外移入或本土個案)、通報日期(通報日期)、發病日期(發病日期)、確診日期(確診日期)、感染地(感染地)、年齡(年齡)、性別(性別)、國籍(國籍)、地址(地址),
3,桃園市106年補助各區公所推動青年參與在地公共事務計畫,青年事務局,桃園市政府,,,,32,79,"""機關名稱：桃園市政府青年事務局地址：桃園市中壢區環北路390號電話：(03)4225205""",
4,桃園市公務出國報告,研究發展考核委員會,桃園市政府,,,,129,760,編號(序號)、計畫名稱(出國計畫名稱)、計畫主辦機關(出國計畫主辦機關名稱)、前往地區(前往地區)、出國類別(出國類別)、出國期間起(出國期間起)、出國期間迄(國國期間迄)、報告日期(繳交出國報告日期),
5,區公所回饋金相關計畫-華亞,經濟發展局,桃園市政府,,,,39,105,公司名稱、年度、經費來源、額度_元、分配單位、執行單位、用途、執行結果,
6,104年各稅稅籍數及實徵稅額統計表-按區別,地方稅務局,桃園市政府,,,,219,164,區(區)、地價稅_稅籍戶數(地價稅_稅籍戶數)、地價稅_實徵稅額(千元)(地價稅_實徵稅額 千元)、使用牌照稅_車輛數(使用牌照稅_車輛數)、使用牌照稅_實徵稅額(千元)(使用牌照稅_實徵稅額 千元)、土地增值稅_收件數(土地增值稅_收件數)、土地增值稅_實徵稅額(千元)(土地增值稅_實徵稅額 千元 )、契稅_收件數(契稅_收件數)、契稅_實徵稅額(千元)(契稅_實徵稅額 千元),
7,桃園市刑事案件,警察局,桃園市政府,,,,295,555,year(年度)、breau(轄區)、type(案件種類)、h_count(發生數)、a_count(破獲數),
8,桃園市水資源回收中心位置,水務局,桃園市政府,,,,1752,275,shp資料,
9,桃園市火災出動直升機統計,消防局,桃園市政府,,,,482,239,大隊分隊(桃園市政府消防局依據桃園市政府消防局組織規程設置之大隊分隊)、受理火災案件數(指含有財物損失_無財物損失_誤報_謊報之火災案件。 )、直升機(救災時出動直升機，依據「直轄市縣市消防車輛裝備及其人力配置標準」第3條規定。),
10,桃園市總預算歲出政事別預算比較總表,主計處,桃園市政府,,,,173,203,款(款)、項(項)、科目名稱(科目名稱)、本年度預算數_千元(本年度預算數_千元)、上年度預算數_千元(上年度預算數_千元)、前年度決算數_千元(前年度決算數_千元)、本年度與上年度比較_千元(本年度與上年度比較_千元),
11,107年老人及身心障礙者送餐服務提供單位清冊,社會局,桃園市政府,,,,41,50,區、單位名稱、服務區域、聯絡電話,
12,桃園市早期療育社區資源中心,社會局,桃園市政府,,,,493,487,中心名稱(桃園市早期療育社區資源中心中心名稱)、委辦單位(桃園市早期療育社區資源中心委辦單位)、服務區(桃園市早期療育社區資源中心服務區)、服務內容(桃園市早期療育社區資源中心服務內容)、服務對象(桃園市早期療育社區資源中心服務對象)、服務時間(桃園市早期療育社區資源中心服務時間),
13,桃園捷運車站設施資料,桃園捷運公司,桃園市政府,,,,629,501,StationFacilityList(車站設施資料)、UpdateTime(更新日期時間)、StationFacilities(車站設施資訊)、StationFacility(車站設施資料)、StationID(車站代號)、StationName(車站中文名稱)、Elevators(無障礙電梯位置資訊)、Elevator(無障澳電梯位置資料)、Description(無障礙電梯位置描述)、FloorLevel(無障礙電梯樓層)、InformationSpots(詢問處位置資訊)、InformationSpot(詢問處位置資料)、Description(詢問處位置描述)、FloorLevel(詢問處樓層)、DrinkingFountains(飲水機位置資訊)、DrinkingFountain(飲水機位置資料)、Description(飲水機位置描述)、FloorLevel(飲水機樓層)、Toilets(廁所位置資訊)、Toilet(廁所位置資料)、Description(廁所位置描述)、FloorLevel(廁所樓層),
