編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,新竹市政府市政新聞,行政處/資訊科,新竹市政府,,,8,,,標題、發布起始日期、發布截止日期、發布單位、類別、內容、圖片路徑-1、圖片說明-1、圖片路徑-2、圖片說明-2、圖片路徑-3、圖片說明-3、圖片路徑-4、圖片說明-4、圖片路徑-5、圖片說明-5、檔案名稱、檔案路徑、相關連結名稱、相關連結網址,
2,新竹市政府市務會議紀錄,行政處/文書科,新竹市政府,,,174,,,會議記錄、開會時間、散會時間、會議內容、主席綜合裁示,
3,新竹市政府網路申辦項目清單,行政處/資訊科,新竹市政府,,,53,,,承辦單位名稱、申辦項目、主題生活、生命地圖、身份角色,
4,新竹市政府1999服務專線來電總數統計表,行政處/設計規劃科,新竹市政府,,,90,,,年、月、來電總數,
5,新竹市免費無線上網熱點流量統計一覽表,行政處/資訊科,新竹市政府,,,4536,,,年/月、熱點名稱、使用人次、使用人數、總分鐘數、總流量-MB,
6,新竹市政府1999服務專線熱門問答點閱數統計表,行政處/設計規劃科,新竹市政府,,,410,,,年度、月份、排名、知識標題、點閱次數,
7,公部門規費使用市民卡小額電子支付數據統計,行政處/資訊科,新竹市政府,,,680,,,機關名稱、刷卡地點、交易年月、總使用人次,
8,新竹市政府免費無線上網熱點地點資訊,行政處/資訊科,新竹市政府,,,132,,,機關構名稱、熱點名稱、熱點類別、縣市名稱、鄉鎮市區、地址、緯度、經度,
9,新竹市電影院名冊,行政處/公關與新聞科,新竹市政府,,,5,,,序號、電影院名稱、電話、地址、樓層、廳數,
10,新竹市轄內有線廣播電視系統,行政處/公關與新聞科,新竹市政府,,,1,,,序號、業者名稱、營業範圍、營業住址、電話、傳真、公司網址,
11,各年度交通安全宣導工作執行計畫表,行政處/公關與新聞科,新竹市政府,,,36,,,機關別、項次、項目、宣導主題、託播對象/承辦廠商、宣傳期間、播出/刊登數量、經費、計畫編號,
12,新竹市統計年報-營業基金及非營業特種基金盈虧（餘絀）,主計處/統計科,新竹市政府,,,76,,,年度別、基金項目名稱、預算數 (新臺幣千元)、決算數 (新臺幣千元),
13,新竹市統計年報-歲出預算-按政事別,主計處/統計科,新竹市政府,,,27,,,"年度別,項目,總計,政權行使支出,行政支出,民政支出,財務支出,教育支出,科學支出,文化支出,農業支出,工業支出,其他經濟服務支出,社會保險支出,社會救助支出,褔利服務支出E,國民就業支出,醫療保健支出,社區發展支出,環境保護支出,退休撫卹給付支出,警政支出,債務付息支出,還本付息事務支出,專案補助支出,第二預備金,其他支出",
14,新竹市統計年報-歲入決算-按來源別,主計處/統計科,新竹市政府,,,14,,,年度別、總計、稅課收入、罰款及賠償收入、規費收入、財產收入、營業盈餘及事業收入、補助及協助收入、捐獻及贈與收入、其他收入,
15,新竹市統計年報-歲出決算-按政事別,主計處/統計科,新竹市政府,,,14,,,年度別、總計、政權行使支出、行政支出、民政支出、財務支出、教育支出、科學支出、文化支出、農業支出、工業支出、交通支出、其他經濟服務支出、社會保險支出、社會救助支出、褔利服務支出、國民就業支出、醫療保健支出、社區發展支出、環境保護支出、退休撫卹給付支出、警政支出、債務付息支出、還本付息事務支出、專案補助支出、其他支出,
