編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,臺南市食品工廠,衛生局,台南市政府,,,1,11,215,「序號」、「工廠製造場所名稱」、「食品製造類別」、「緯度」、「經度」,
2,臺南市政府組織自治條例及編制表,人事處,台南市政府,,,2,32,750,職稱、官等、職等、員額、備考 ,
3,01自99年12月至107年現住人口統計表,民政局,台南市政府,,,5,22,97,01自99年12月至106年現住人口統計表,
4,臺南市重要統計指標,主計處,台南市政府,,,52,2,38,重要統計指標、財政收支、人力資源、失業率、就業人口數、就業者之行業結構、家庭收支、物價指數、土地、人口、社會治安、公共安全、社會福利及救助、教育文化、醫療、衛生、交通運輸、公共建設、工商業概況、環境保護,
5,0206地震專區,臺南市政府,台南市政府,,,22,1670,11810,「編號」、「行政區」、「地址」、「經度」、「緯度」、「初勘人員」,
6,臺南市政府自辦市地重劃執行情形（開發中）,地政局,台南市政府,,,1,15,183, 臺南市政府自辦市地重劃執行情形（開發中）,
7,特定行業清冊,經濟發展局,台南市政府,,,1,7,119,「商號/公司名稱」、「有無登記」、「行業別」、「負責人」、「營業地址」,
8,臺南市病媒防治業者名單,環境保護局,台南市政府,,,1,3,210,"管制編號,廠商名稱,許可執照字號,地址,電話 ",
9,臺南市醫療機構自費收費標準表-102年6月24日修訂,衛生局,台南市政府,,,1,2,31,主要項目、次要項目與說明、收費標準(起)、收費標準(迄)、計價說明 ,
10,臺南市政府衛生局輔導推動健康餐飲店,衛生局,台南市政府,,,1,16,1019,「店家名稱」、「地址」、「電話」、「類型」,
11,臺南市流感抗病毒藥劑合約醫療機構名冊暨藥劑配置量一覽表--2018/02/08更新,衛生局,台南市政府,,,1,25,2012,「縣市」、「區別」、「區家編」、「醫療機構」、「醫院等級」、「地址」、「電話」、「合約狀態」、 「加/退入日期」,
12,臺南市餐飲衛生優良店,衛生局,台南市政府,,,3,35,1337,「年度」、「市招名稱」、「類別」、「區別」、「地址」、「等級」、「緯度」、「經度」,
13,臺南市流感疫苗接種合約醫療院所名單,衛生局,台南市政府,,,1,13,1676,「感疫苗接種」、「電話」、「地址」,
14,臺南市加密控制點坐標檔,地政局,台南市政府,,,5,70,789,含點名、N坐標、E坐標(TWD97),
15,臺南市政府及其所屬機關職（教）員合計年齡統計表,人事處,台南市政府,,,3,12,292,＊統計項目定義： （一）年齡以戶籍登記所記載之出生年、月、日為準並以足歲計算。 （二）平均年齡計算方式，以每一階段年齡之中數乘該階段人數後求之。 ＊統計單位：人	 ＊統計分類： （一）縱行依29歲以下，30～39歲，40～49歲，50～59歲，60～65歲，65歲以上，平均年齡等分類。 （二）橫列依橫列依行政機關、事業機關、各級學校分；行政機關再按一般行政、衛生醫療、警察；事業機構再分為交通、金融等機構。,
16,臺南市政府及其所屬機關職（教）員合計官等性別統計表,人事處,台南市政府,,,3,14,315,＊統計分類： （一）縱行依特任、簡任、薦任、委任、雇員分；再細分為男、女。 （二）橫列依橫列依行政機關、事業機關、各級學校分；行政機關再按一般行政、衛生醫療、警察；事業機構再分為交通、金融等機構。,
17,臺南市環保志義工環境清潔執行成果,環境保護局,台南市政府,,,4,9,406,"編號,年度,37區環保義工隊名稱,各隊掃街參與人數(人/月),各隊掃街公里數(公里/8個月)",
18,臺南市地下水監測資料,環境保護局,台南市政府,,,1,12,641,"序號,採樣日期,井號,pH/水溫,大腸桿菌群,總溶解固體物,氯鹽,硫酸鹽,氟鹽,硝酸鹽氮,亞硝酸鹽氮,氨氮,總有機碳,總硬度,總磷,鉛,鎘,鉻,銅,鋅,鎳,砷,汞,氯甲烷,氯乙烯,1,1-二氯乙烯,二氯甲烷,反-1,2-二氯乙烯,1,1-二氯乙烷,順-1,2-二氯乙烯,氯仿,1,1,1-三氯乙烷,1,2-二氯乙烷,苯,四氯化碳,三氯乙烯,甲苯,1,1,2-三氯乙烷,四氯乙烯,氯苯,乙苯,二甲苯註3,1,4-二氯苯,1,2-二氯苯,?,甲基第三丁基醚(MTBE),2,4,6-三氯酚,2,4,5-三氯酚,五氯酚,3,3’-二氯聯苯胺",
19,臺南市所屬機關學校公教人員教育程度,人事處,台南市政府,,,2,6,137, 教育程度：區分為博士、碩士、學士、專科、高中(職)、國(初)中(含)以下。,
20,臺南市登革熱噴藥人力及場次,衛生局,台南市政府,,,4,58,21544,臺南市104年登革熱噴藥人力及場次,
21,工業油脂流向申報105年4月廠商清冊,經濟發展局,台南市政府,,,1,2,99,工業油脂流向申報105年4月廠商清冊,
22,化工原料工廠105年4月廠商清冊,經濟發展局,台南市政府,,,1,5,115,化工原料工廠105年4月廠商清冊,
23,臺南待認領養流浪動物資料,農業局,台南市政府,,,1,6,90,動物的區域編號、動物的實際所在地、動物的類型、動物性別、動物體型。動物毛色、動物年紀、是否絕育、是否施打狂犬病疫苗、動物尋獲地、動物狀態、資料備註 ,
24,化工原料工廠105年8月廠商清冊,經濟發展局,台南市政府,,,2,4,136,化工原料工廠105年8月廠商清冊,
25,食品工廠105年8月廠商清冊,經濟發展局,台南市政府,,,1,8,118,食品工廠105年8月廠商清冊,
26,工業油脂流向申報105年8月廠商清冊,經濟發展局,台南市政府,,,1,2,110,工業油脂流向申報105年8月廠商清冊,
27,工業油脂流向申報105年1月廠商清冊,經濟發展局,台南市政府,,,1,4,199,工業油脂流向申報105年1月廠商清冊,
28,化工原料工廠105年10月廠商清冊,經濟發展局,台南市政府,,,1,5,91,化工原料工廠105年10月廠商清冊,
29,食品工廠105年10月廠商清冊,經濟發展局,台南市政府,,,1,5,116,食品工廠105年10月廠商清冊--csv檔,
30,工業油脂流向申報105年10月廠商清冊,經濟發展局,台南市政府,,,1,4,117,工業油脂流向申報105年10月廠商清冊,
31,臺南市所屬機關學校正式職(教)員及其他員工實有員額,人事處,台南市政府,,,2,14,40,臺南市所屬機關學校正式職(教)員及其他員工實有員額---按機關分類,
32,工業油脂流向申報105年2月廠商清冊,經濟發展局,台南市政府,,,1,1,131,工業油脂流向申報105年2月廠商清冊--csv檔,
33,化工原料工廠105年2月廠商名冊,經濟發展局,台南市政府,,,1,2,135,化工原料工廠105年2月廠商名冊,
34,食品工廠105年4月廠商清冊,經濟發展局,台南市政府,,,1,3,170,食品工廠105年4月廠商清冊,
35,工業油脂流向申報105年5月廠商清冊,經濟發展局,台南市政府,,,1,1,126,工業油脂流向申報105年5月廠商清冊,
36,化工原料工廠105年5月廠商清冊,經濟發展局,台南市政府,,,1,5,170,化工原料工廠105年5月廠商清冊,
37,食品工廠105年5月廠商清冊,經濟發展局,台南市政府,,,1,5,146,食品工廠105年5月廠商清冊,
38,臺南市106年各區原住民族群人口統計,民族事務委員會,台南市政府,,,36,19,202,106年1月臺南市現住原住民人口數按性別、原住民身分及族別分布,
39,工業油脂流向申報廠商清冊,經濟發展局,台南市政府,,,12,6,84,工業油脂流向申報106年02月廠商清冊,
40,化工原料工廠106年02月廠商清冊,經濟發展局,台南市政府,,,1,7,50,化工原料工廠106年02月廠商清冊,
41,食品工廠106年02月廠商清冊,經濟發展局,台南市政府,,,1,10,74,食品工廠106年02月廠商清冊,
42,臺南市勞工體格及健檢認可醫療機構,衛生局,台南市政府,,,1,2,50,「id」、「場所名稱」、「通訊地址」、「電話」、「緯度」、「經度」,
43,各類食品抽驗結果,衛生局,台南市政府,,,7,38,450,序號、稽查日期、產品名稱、檢驗項目、檢驗結果 ,
44,臺南市藥局,衛生局,台南市政府,,,1,13,177,「機構狀態」、「機構類別」、「機構名稱」、「縣市別」、「鄉鎮市區」、「街 道巷弄號」、「電話」 ,
45,食品器具、食品容器或包裝、食品用洗潔劑檢驗結果,衛生局,台南市政府,,,6,9,366,序號、稽查日期、產品名稱、檢驗項目、檢驗結果 ,
46,臺南市成人(滿13歲)-胸部X光檢查醫療院所名冊-2017/09/14更新,衛生局,台南市政府,,,3,19,877,「機構名稱」、「地址」、「電話」,
47,屆滿或即將屆滿15年未領歸屬國庫案件,地政局,台南市政府,,,1,12,67,「編號」、「保管字號」、「道路名稱」、「區」、「段」、「地號」、「姓名」、「住址」 ,
48,1999每月派工案件,研究發展考核委員會,台南市政府,,,39,113,168,2015年4月臺南1999派工案件,
49,臺南市政府食品違規廣告統計表,衛生局,台南市政府,,,4,15,385,年度、總件數、總金額、電台件數、金額、電視件數、金額、網路平面媒體件數、金額 							 ,
50,臺南市政府藥品違規廣告統計表,衛生局,台南市政府,,,4,7,318,年度、總件數、總金額、電台件數、金額、電視件數、金額、網路平面媒體件數、金額 								 ,
51,臺南市市售抽驗計畫加水站管理,衛生局,台南市政府,,,3,12,714,項次、抽驗日期、市招名稱、地址、抽驗物品名稱、檢驗判定結果,
52,臺南市各區代碼,研究發展考核委員會,台南市政府,,,1,8,247,「AreaName」、「Code」,
53,臺南市實施耕地三七五減租成果統計表,地政局,台南市政府,,,3,8,510,103年臺南市實施耕地三七五減租成果,
54,4G健康小站,社會局,台南市政府,,,2,29,300,健康小站裝置據點 ,
55,臺南市76年迄今累進起點地價,財政稅務局,台南市政府,,,1,0,85,"年度,臺南市累進起點地價,臺南縣累進起點地價,開徵日期",
56,103年勞工局職災慰問金發放統計表,勞工局,台南市政府,,,1,6,352,職災慰問金發放,
