編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,宜蘭縣殯葬設施一覽表,民政處,宜蘭縣政府,,,12,,,名稱  鄉鎮市 地址 連絡單位,
2,宜蘭縣寺廟慶典,民政處,宜蘭縣政府,,,,,,,
3,宜蘭縣最新人口數及戶數統計表,民政處,宜蘭縣政府,,,14,,,,
4,宜蘭縣政府107年度歲入預算執行情形表,財政處,宜蘭縣政府,,,16,,,科目別 本年度預算數 截至本月底止預算分配數 實收累計數 超短收數 備註,
5,107年度宜蘭縣總預算歲入來源別預算表,財政處,宜蘭縣政府,,,414,,,年度 科目 本年度預算數 上年度預算數 前年度決算數 本年度與上年度比較,
6,宜蘭縣縣有財產量值目錄,財政處,宜蘭縣政府,,,8,,,價值總計,
7,宜蘭縣促進民間參與公共建設案件一覽表,財政處,宜蘭縣政府,,,15,,,,
8,106年度宜蘭縣庫款集中支付年報表,財政處,宜蘭縣政府,,,,,,項目  年支付數 年支出收回數 年轉帳支付數 年轉帳收回數 年註銷數 年支付淨額,
9,宜蘭縣合法酒製造業者,財政處,宜蘭縣政府,,,13,,,"製造業者名稱,統一編號,工廠所在地,製菸(酒)執照號碼,坐標X,坐標Y",
10,公告宜蘭縣政府公共債務情形,財政處,宜蘭縣政府,,,4,,,年 月 1年以上債務未償餘額 短期債務未償餘額 平均每人負擔債務 自償性債務未償餘額(含非營業特種基金),
11,公告宜蘭縣政府最新債務訊息,財政處,宜蘭縣政府,,,33,,,年 月 1年以上債務未償餘額 短期債務未償餘額 平均每人負擔債務 自償性債務未償餘額(含非營業特種基金),
12,宜蘭縣政府93年至105年歲入出及公共債務明細表,財政處,宜蘭縣政府,,,17,,,年度別 歲入 歲出 負債（依公共債務法規定定義之債務） 預算數 決算數 預算數 決算數 ㄧ年以上公共債務(長債) 未滿一年公共債務(短債) (含未兌現支票),
13,宜蘭縣宜蘭市公所最新公共債務情形表,財政處,宜蘭縣政府,,,8,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
14,宜蘭縣羅東鎮公所最新公共債務情形表,財政處,宜蘭縣政府,,,14,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
15,宜蘭縣頭城鎮公所最新公共債務情形表,財政處,宜蘭縣政府,,,8,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
16,宜蘭縣礁溪鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
17,宜蘭縣壯圍鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,16,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
18,宜蘭縣員山鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,8,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
19,宜蘭縣冬山鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,8,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
20,宜蘭縣蘇澳鎮公所最新公共債務情形表,財政處,宜蘭縣政府,,,32,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
21,宜蘭縣五結鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,7,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
22,宜蘭縣三星鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,14,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
23,宜蘭縣大同鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
24,宜蘭縣南澳鄉公所最新公共債務情形表,財政處,宜蘭縣政府,,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)",
25,宜蘭縣旅館名冊,工商旅遊處,宜蘭縣政府,,,207,,,,
26,宜蘭縣民宿名冊,工商旅遊處,宜蘭縣政府,,,1061,,,,
27,宜蘭旅遊服務中心暨遊客中心,工商旅遊處,宜蘭縣政府,,,15,,,,
28,宜蘭縣停車場剩餘數資料,建設處,宜蘭縣政府,,,2,,,https://imgur.com/a/rGfJNeO,
29,宜蘭縣停車場資料,建設處,宜蘭縣政府,,,,,,https://imgur.com/a/rGfJNeO,
30,宜蘭縣市區客運站位經緯度,建設處,宜蘭縣政府,,,708,,,,
31,宜蘭縣市區客運路線線型經緯度,建設處,宜蘭縣政府,,,4704,,,,
32,宜蘭縣計程車業者(酒後代駕)叫車資訊一覽表,建設處,宜蘭縣政府,,,,,,地區、計程車行、服務電話、服務時間,
33,宜蘭縣假日開放停車場與廁所學校一覽表,教育處,宜蘭縣政府,,,46,,,,
34,宜蘭縣災民收容所學校一覽表,教育處,宜蘭縣政府,,,,,,,
35,106年度校舍地春節期間開放露營場地之學校名冊,教育處,宜蘭縣政府,,,65536,,,,
36,宜蘭縣短期補習班,教育處,宜蘭縣政府,,,,,,,
37,宜蘭縣樂齡學習中心,教育處,宜蘭縣政府,,,,,,,
38,宜蘭縣社區大學,教育處,宜蘭縣政府,,,,,,,
39,宜蘭縣通過認證環境教育場所認證情形表,教育處,宜蘭縣政府,,,6,,,,
40,宜蘭縣公立幼兒園,教育處,宜蘭縣政府,,,,,,,
41,宜蘭縣私立幼兒園,教育處,宜蘭縣政府,,,,,,,
42,宜蘭縣105學年度第2學期國民小學辦理兒童課後照顧服務班學校清單,教育處,宜蘭縣政府,,,,,,宜蘭縣105學年度第2學期國民小學辦理兒童課後照顧服務班學校清單,
43,宜蘭縣社區照顧關懷據點,社會處,宜蘭縣政府,,,102,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
44,遊民收容位置及收容人數,社會處,宜蘭縣政府,,,251,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
45,避難收容所位置及收容人數,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
46,物資銀行服務據點,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
47,就業服務據點,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
48,宜蘭縣早期療育服務通報轉介中心,社會處,宜蘭縣政府,,,3,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
49,社會福利服務中心,社會處,宜蘭縣政府,,,4,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
50,高風險家庭關懷輔導處遇服務提供單位,社會處,宜蘭縣政府,,,2,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
51,執業社工師分布,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
52,宜蘭縣立案人民團體名冊,社會處,宜蘭縣政府,,,,,,宜蘭縣立案人民團體名稱、地址、立案字號,
53,宜蘭縣老人福利機構,社會處,宜蘭縣政府,,,41,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
54,宜蘭縣日間照顧中心,社會處,宜蘭縣政府,,,10,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
55,宜蘭縣家庭暴力及性侵害防治中心,社會處,宜蘭縣政府,,,2,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
56,老人共餐據點,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
57,社區活動中心,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
58,村里辦公室,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
59,社區發展協會,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
60,社會福利志願服務團隊,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
61,公益團體,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
62,宜蘭縣獨居長者關懷志工隊,社會處,宜蘭縣政府,,,,,,,
63,宜蘭縣早期療育服務個案管理中心,社會處,宜蘭縣政府,,,3,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
64,宜蘭縣身心障礙住宿機構,社會處,宜蘭縣政府,,,7,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
65,宜蘭縣身心障礙福利機構,社會處,宜蘭縣政府,,,7,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
66,宜蘭縣身心障礙福利日間照顧機構,社會處,宜蘭縣政府,,,7,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
67,宜蘭縣老人福利服務中心,社會處,宜蘭縣政府,,,11,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
68,老人安養機構,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
69,身心障礙牙醫醫療院所,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
70,身心障礙者復康巴士服務,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
71,身心障礙團體,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
72,失智症守護據點,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
73,宜蘭縣兒童及少年安置教養機構,社會處,宜蘭縣政府,,,4,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
74,宜蘭縣兒童及少年福利服務中心,社會處,宜蘭縣政府,,,2,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
75,宜蘭縣公私立托育資源中心,社會處,宜蘭縣政府,,,3,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
76,宜蘭縣公私立托嬰中心,社會處,宜蘭縣政府,,,15,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
77,宜蘭縣單親及婦女福利服務中心,社會處,宜蘭縣政府,,,2,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
78,新移民家庭服務中心,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
79,新住民社區服務據點,社會處,宜蘭縣政府,,,3,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
80,保母系統分布,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
81,社區家庭守護據點,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
82,收出養服務中心,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
83,社區家庭守護據點,社會處,宜蘭縣政府,,,,,,性質、主管機關、辦理單位、成立日期、立案文號、負責人、連絡電話、傳真、電子郵件、地址、相關網站、X坐標、Y坐標、最後更新時間,
84,宜蘭縣經紀業名冊,地政處,宜蘭縣政府,,,192,,,,
85,1999專線及縣政信箱,計畫處,宜蘭縣政府,,,2,,,1999專線市內、外電話、縣政信箱網址,
86,宜蘭縣各鄉鎮市公所資訊,計畫處,宜蘭縣政府,,,,,,宜蘭縣各鄉鎮市公所資訊,
87,宜蘭縣村里資訊站及村里混裝數位機會中心*,計畫處,宜蘭縣政府,,,20,,,所在鄉鎮 點位名稱 地址 連絡電話 連絡人 電腦數,
88,宜蘭縣免費無線熱點*,計畫處,宜蘭縣政府,,,1004,,,流水號 點位名稱 類型 鄉鎮市 地址 服務範圍,
89,宜蘭縣土壤採樣計畫採樣次數資料,環保局,宜蘭縣政府,,,,,,,
90,宜蘭縣利澤焚化廠位置資料,環保局,宜蘭縣政府,,,,,,,
91,宜蘭縣柴油車排煙動力計檢測站基本資料,環保局,宜蘭縣政府,,,,,,,
92,噪音管制標準第二條：噪音管制時段區分說明,環保局,宜蘭縣政府,,,,,,"時段,管制區,時段說明",
93,噪音管制標準第四條：工廠(場)噪音管制標準值,環保局,宜蘭縣政府,,,,,,"管制區,時段,頻率,音量,音量分類,公告連結網址",
94,宜蘭縣依據噪音管制標準第八條公告噪音管制標準,環保局,宜蘭縣政府,,,,,,"管制區,時段,頻率,音量,音量分類,公告連結網址",
95,宜蘭縣自辦海域水質監測結果,環保局,宜蘭縣政府,,,,,,,
96,宜蘭縣環保局公務統計報表下載,環保局,宜蘭縣政府,,,,,,,
97,宜蘭縣環保局申辦表單下載,環保局,宜蘭縣政府,,,,,,,
98,宜蘭縣垃圾衛生掩埋場地下水監測井位置資料,環保局,宜蘭縣政府,,,,,,,
99,宜蘭縣一般地區環境音量每季監測資料,環保局,宜蘭縣政府,,,,,,,
100,宜蘭縣生熟廚餘回收分類表,環保局,宜蘭縣政府,,,,,,,
101,宜蘭縣飲料販賣業提報減量計畫之優惠方案,環保局,宜蘭縣政府,,,,,,,
102,宜蘭縣環保局新聞稿,環保局,宜蘭縣政府,,,,,,,
103,宜蘭縣綠色商店名冊,環保局,宜蘭縣政府,,,,,,,
104,宜蘭縣政府無線充電放置地點,計畫處,宜蘭縣政府,,,,,,"點位名稱,類型,鄉鎮市,地址,數量,服務範圍,服務台電話1,服務台電話2",
105,政府行政機關辦公日曆表,人事處,宜蘭縣政府,,,121,,,,
106,中華民國一百零七年政府行政機關辦公日曆表,人事處,宜蘭縣政府,,,366,,,,
107,已登錄土地面積,主計處,宜蘭縣政府,,,,,,,
108,105年統計年報,主計處,宜蘭縣政府,,,,,,,
109,實施三七五減租成果,主計處,宜蘭縣政府,,,,,,,
110,土地徵收面積(88-101年),主計處,宜蘭縣政府,,,,,,,
111,土地徵收面積(102年以後),主計處,宜蘭縣政府,,,,,,,
112,公地撥用面積-年 依期間， 鄉鎮別與項目別,主計處,宜蘭縣政府,,,,,,,
113,現住戶數、人口密度及性比例-年 依 期間，鄉鎮市 與 項目,主計處,宜蘭縣政府,,,,,,,
114,戶籍動態(88-101年)-年 依 期間，鄉鎮市 與 項目,主計處,宜蘭縣政府,,,,,,,
115,戶籍動態(102-103年)-年 依 期間，鄉鎮市 與 項目,主計處,宜蘭縣政府,,,,,,,
116,戶籍動態(104年後)-年 依 期間， 鄉鎮市 與 項目,主計處,宜蘭縣政府,,,,,,,
117,現住人口之年齡分配－依5歲間距-年 依 期間，鄉鎮市， 男/女 與 年齡層,主計處,宜蘭縣政府,,,,,,,
118,現住人口之年齡分配－依5歲間距-年 依 期間，鄉鎮市，男/女 與 年齡層,主計處,宜蘭縣政府,,,,,,,
119,現住人口之年齡分配－依老幼-年 依 期間，鄉鎮市 與 項目,主計處,宜蘭縣政府,,,,,,,
120,滿15歲以上現住人口之教育程度－依年齡(88-101年)-年 依 期間， 年齡層，,主計處,宜蘭縣政府,,,,,,,
121,滿15歲以上現住人口之教育程度－依年齡(102年後)-年 依 期間，年齡層，男/女,主計處,宜蘭縣政府,,,,,,,
122,滿15歲以上現住人口之教育程度－依鄉鎮市(88-101年)-年 依 期間，鄉鎮市，,主計處,宜蘭縣政府,,,,,,,
123,滿15歲以上現住人口之教育程度－依鄉鎮市(102年後)-年 依 期間， 鄉鎮市，,主計處,宜蘭縣政府,,,,,,,
124,現住人口之婚姻狀況－依年齡-年 依 期間，年齡層，婚姻 與 男/女,主計處,宜蘭縣政府,,,,,,,
125,現住人口之婚姻狀況－依鄉鎮市-年 依 期間， 鄉鎮市，婚姻 與 男/女,主計處,宜蘭縣政府,,,,,,,
126,現住原住民戶口數-年 依 期間，鄉鎮市 與 項目,主計處,宜蘭縣政府,,,,,,,
127,現住原住民年齡分配-年 依 期間，鄉鎮市，男/女 與 年齡層,主計處,宜蘭縣政府,,,,,,,
128,現住原住民教育程度(92-101年)-年 依 期間，年齡層，男/女，平地/山地 與,主計處,宜蘭縣政府,,,,,,,
129,現住原住民教育程度(88-91年)-年 依 期間， 鄉鎮市，男/女，平地/山地 與 項目,主計處,宜蘭縣政府,,,,,,,
130,現住原住民教育程度(102年後)-年 依 期間，年齡層， 男/女，平地/山地 與 項目,主計處,宜蘭縣政府,,,,,,,
131,現住原住民婚姻狀況(92年後)-年 依 期間，年齡層， 平地/山地，婚姻 與 男/女,主計處,宜蘭縣政府,,,,,,,
132,現住原住民婚姻狀況(88-91年)-年 依 期間， 鄉鎮市，平地/山地 與 項目,主計處,宜蘭縣政府,,,,,,,
133,宜蘭縣偏遠地區移動式機車檢驗站機車定檢服務行程表,環保局,宜蘭縣政府,,,,,,"是否為假日,鄉鎮市,地點,檢驗服務時間,檢驗服務日期",
134,宜蘭縣歷屆環境教育獎得獎名單,環保局,宜蘭縣政府,,,,,,,
135,宜蘭縣取得事業廢棄物(廚餘)再利用檢核身分機構名冊,環保局,宜蘭縣政府,,,,,,"序號,機構名稱,電話,所在鄉鎮市,再利用檢核期限",
136,宜蘭縣各公所歷年環境清潔競賽考核評比成績,環保局,宜蘭縣政府,,,,,,,
137,宜蘭縣自辦港口水質監測結果,環保局,宜蘭縣政府,,,,,,,
138,噪音管制標準第五條：娛樂場所、營業場所噪音管制標準,環保局,宜蘭縣政府,,,,,,"管制區,時段,頻率,音量,音量分類,公告連結網址",
139,宜蘭縣港口水質監測標準值,環保局,宜蘭縣政府,,,,,,,
140,宜蘭縣交通音量每季監測資料,環保局,宜蘭縣政府,,,,,,,
141,宜蘭縣社區資源回收站資訊,環保局,宜蘭縣政府,,,,,,,
142,宜蘭縣環保旅店名冊,環保局,宜蘭縣政府,,,,,,,
143,宜蘭縣各鄉鎮市垃圾車APP清運點資料,環保局,宜蘭縣政府,,,,,,"星期,鄉鎮市,站序,表定時間,路線名稱,清運點名稱,經度,緯度",
144,宜蘭縣人工空氣品質監測站總懸浮微粒監測資料,環保局,宜蘭縣政府,,,,,,,
145,宜蘭縣已補助新購電動二輪車申請案查詢,環保局,宜蘭縣政府,,,,,,,
146,宜蘭縣加油站資料,環保局,宜蘭縣政府,,,,,,,
147,宜蘭縣環保局各項計畫執行成果,環保局,宜蘭縣政府,,,,,,"計畫結案年度,計畫名稱,計畫內容連結",
148,宜蘭縣有申請廢食用油工作證之合格清除機構,環保局,宜蘭縣政府,,,,,,,
149,宜蘭縣自備環保杯享優惠業者名單,環保局,宜蘭縣政府,,,,,,,
150,宜蘭縣環保局招標公告,環保局,宜蘭縣政府,,,,,,,
151,宜蘭縣人工空氣品質監測站落塵量監測資料,環保局,宜蘭縣政府,,,,,,,
152,宜蘭縣各鄉鎮市清潔隊廚餘回收分類表,環保局,宜蘭縣政府,,,,,,,
153,宜蘭縣公民營清除處理機構名冊,環保局,宜蘭縣政府,,,,,,,
154,宜蘭縣環保局環保大事記,環保局,宜蘭縣政府,,,,,,,
155,宜蘭縣廢棄車輛拖吊資料查詢系統,環保局,宜蘭縣政府,,,,,,,
156,宜蘭縣水質監測站基本資料,環保局,宜蘭縣政府,,,,,,,
157,宜蘭縣機車排氣檢驗站資料,環保局,宜蘭縣政府,,,,,,,
158,宜蘭縣已核發應回收廢棄物回收處理業登記名冊,環保局,宜蘭縣政府,,,,,,,
159,宜蘭縣電動機車充電站,環保局,宜蘭縣政府,,,,,,,
160,宜蘭縣領有病媒防治業許可執照業者名單,環保局,宜蘭縣政府,,,,,,,
161,宜蘭縣環保法規,環保局,宜蘭縣政府,,,,,,,
162,宜蘭縣噪音監測站名冊,環保局,宜蘭縣政府,,,,,,,
163,宜蘭縣歷年資源回收成果統計表,環保局,宜蘭縣政府,,,,,,,
164,宜蘭縣固定污染源自動連續監測系統(CEMS)開放資料,環保局,宜蘭縣政府,,,,,,,
165,宜蘭縣垃圾衛生掩埋場地下水監測基準值,環保局,宜蘭縣政府,,,,,,,
166,宜蘭縣列管海岸資料,環保局,宜蘭縣政府,,,,,,"編號,清潔海岸地點,長度,查報單位",
167,宜蘭縣各鄉鎮市公所公設廣告欄設置地點,環保局,宜蘭縣政府,,,,,,"鄉鎮市,設置地點,座數",
168,宜蘭縣柴油車油品成份含硫量歷年查驗成果,環保局,宜蘭縣政府,,,,,,"現場樣品編號,檢驗室樣品編號,採樣日期,送驗日期,報告日期,含硫量,合格與否,採樣點,設籍地,縣內大客貨,比重值",
169,宜蘭縣柴油車各廠牌原廠保養維修廠地址資料,環保局,宜蘭縣政府,,,,,,"序號,保養廠名稱,保養廠地址",
170,空氣污染防制法-空氣品質標準,環保局,宜蘭縣政府,,,,,,"各項平均值,各項平均值意義說明",
171,空氣污染防制法-空氣品質標準之各項平均值意義說明,環保局,宜蘭縣政府,,,,,,"各項平均值,各項平均值意義說明",
172,宜蘭縣公私場所臭異味檢測結果,環保局,宜蘭縣政府,,,,,,"檢測對象,檢測日期,採樣類型,管道編號,檢測結果,標準值,備註",
173,宜蘭縣機車排氣定檢通知名冊資料,環保局,宜蘭縣政府,,,,,,"車號,出廠年月,行照發照日期,發照月份,通知定檢年度,應定檢日期_起,應定檢日期_迄",
174,宜蘭縣107年度淘汰二行程機車與新購電動機車補助資訊,環保局,宜蘭縣政府,,,,,,"補助計畫年度,補助計畫,補助單位,傳統二行程機車,傳統四行程機車,電動重型機車,電動輕型,電動小型輕型,電動自行車,電動輔助自行車,連結網址",
175,宜蘭縣移動污染源排氣檢測複檢通知,環保局,宜蘭縣政府,,,,,,"車牌號碼,車牌號碼,定檢系統查詢日期,定檢不合格日期/車牌辨識日期,未檢驗年度,發照月,出廠年月,發照日期,限期改善日期,罰款金額,通知複驗事由",
176,宜蘭縣各鄉鎮市環保志工隊名單,環保局,宜蘭縣政府,,,,,,"名稱,編制,聯絡電話",
177,宜蘭縣水肥清運業者經許可投入水肥處理站名冊,環保局,宜蘭縣政府,,,,,,,
178,宜蘭縣旅遊景點、學校、公廁等公共設施管理檢查執行情形報告表,環保局,宜蘭縣政府,,,,,,"查核年份,查核月份,督導機關,檢查項目,查核情形,設施名稱,設施所屬鄉鎮市,查核結果",
179,宜蘭縣垃圾掩埋場現況表,環保局,宜蘭縣政府,,,,,,,
180,宜蘭縣4大水泥廠廢棄物再利用資料,環保局,宜蘭縣政府,,,,,,,
181,宜蘭縣超商賣場廟宇紙錢集中門市名冊,環保局,宜蘭縣政府,,,,,,,
182,宜蘭縣政府第9屆環境影響評估審查委員會委員名冊,環保局,宜蘭縣政府,,,,,,"單位,職稱,姓名,專長",
183,宜蘭縣各公所及清潔隊聯絡資料,環保局,宜蘭縣政府,,,,,,,
