編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,臺中市年度建築物公共安全檢查稽查數量,臺中市政府都市發展局,台中市政府,,,0,1,10,主管機關、行業類別\r\n,2018-05-07
2,106年臺中市乳房X光攝影醫院,臺中市政府衛生局,台中市政府,,,0,4,23,序號、區域、醫事機構名稱、地址、電話\r\n\t\t\r\n\t\t\r\n,2018-07-12
3,警察局104年1月份交通事故資料,臺中市政府警察局,台中市政府,,,0,6,6,發生時間、事故類別、市、區、里、鄰、事故地點、鄰近、肇事逃逸、酒駕案件\t,2018-07-11
4,警察局105年7月份交通事故資料,臺中市政府警察局,台中市政府,,,9057,0,6,臺中市政府警察局105年7月份交通事故資料,2018-05-07
5,警察局105年4月份交通事故資料,臺中市政府警察局,台中市政府,,,8327,0,6,臺中市政府警察局105年4月份交通事故資料,2018-05-07
6,警察局104年3月份交通事故資料,臺中市政府警察局,台中市政府,,,8443,0,7,臺中市政府警察局104年3月份交通事故資料,2018-05-07
7,臺中市政府警察局104年4月份交通事故資料,臺中市政府警察局,台中市政府,,,8209,0,7,臺中市政府警察局104年4月份交通事故資料,2018-05-07
9,臺中市社區大學聯絡資訊,臺中市政府教育局,台中市政府,,,0,0,8,社區大學聯絡電話、聯絡地址、網址及行動教室區域,2018-05-07
10,警察局105年11月份交通事故資料,臺中市政府警察局,台中市政府,,,0,0,5,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,2018-05-07
11,臺中市成立長照2.0社區整體照顧服務體系（A-B-C）行政區域,臺中市政府社會局,台中市政府,,,7,20,15,大甲區社區整體照顧服務體系團隊名單,2018-05-07
12,臺中市滅火器藥劑更換及充填合格廠商清冊,臺中市政府消防局,台中市政府,,,0,0,5,--,2018-05-07
13,臺中市道路挖掘當日施工資訊,臺中市政府建設局,台中市政府,,,0,3,15,申請書編號：CASE_ID\r\n許可證編號：AC_NO\r\n核准起日：ABE_DA\r\n核准迄日：AEN_DA\r\n申請單位：UN_NA\r\n工程名稱：CONST_NAME\r\n案件類別：CASE_KIND\r\n管線工程類別：WORK_KIND\r\n區域名稱：TOWN_NAME\r\n地點：LOCATION\r\n是否開工：real_op\r\n承辦人：UR_NA\r\n承辦人電話：UR_TI\r\n廠商名稱：UR_CON\r\n廠商電話：UR_CON_TEL\r\n中心點X座標：X_CP\r\n中心點Y座標：Y_CP\r\n施工範圍座標：w_RANGE,2018-05-07
14,警察局105年8月份交通事故資料,臺中市政府警察局,台中市政府,,,9164,0,6,臺中市政府警察局105年8月份交通事故資料,2018-05-07
15,警察局105年10月份交通事故資料,臺中市政府警察局,台中市政府,,,8972,1,11,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,2018-05-07
16,長青福利服務-老人營養餐飲,臺中市政府社會局,台中市政府,,,6,21,20,區域、服務區域、單位名稱、電話、地址,2018-05-07
