編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,家庭教育中心介紹,,高雄市政府,,, 1,1,19,家庭教育中心,
2,100年報案情形統計表,,高雄市政府,,, 1,8,33,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
3,100年高雄1999派工資料,,高雄市政府,,, 12,18,38,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
4,105年高雄市消費者服務中心受理消費爭議件數一覽表,,高雄市政府,,, 1,36,207,提供高雄市消費者服務中心105年受理消費爭議件數一覽表,
5,高雄市101年前50大易肇事路口,,高雄市政府,,, 50,4,36,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
6,高雄市101年度A1交通事故地點資料,,高雄市政府,,, 9,5,37,"發生時間,發生地點,死亡受傷人數,車種,緯度Lat,經度Lng,資料序號Seq,",
7,高雄市101年度A2交通事故地點資料,,高雄市政府,,, 43832,5,28,"發生時間,發生地點,死亡受傷人數,車種,",
8,101年高雄1999派工資料,,高雄市政府,,, 12,17,32,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
9,高雄市102年前50大易肇事路口,,高雄市政府,,, 50,5,38,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
10,高雄市102年度A1交通事故地點資料,,高雄市政府,,,9,9,32,"發生時間,發生地點,死亡受傷人數,車種,緯度Lat,經度Lng,資料序號Seq,",
11,高雄市102年度A2交通事故地點資料,,高雄市政府,,, 46888,6,33,"發生時間,發生地點,死亡受傷人數,車種,",
12,102年高雄1999派工資料,,高雄市政府,,, 12,26,19,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
13,高雄市103年前50大易肇事路口,,高雄市政府,,, 50,6,47,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
14,高雄市103年度A1交通事故地點資料,,高雄市政府,,, 9,23,93,公布高雄市103年度A1交通事故地點資料,
15,高雄市103年度A2交通事故地點資料,,高雄市政府,,, 52689,4,39,"發生時間,發生地點,死亡受傷人數,車種,",
16,103年空氣污染物連續自動監測設施(CEMS),,高雄市政府,,,12 ,69,55,103年1月空氣污染物連續自動監測設施(CEMS),
17,年度查核成果成績,,高雄市政府,,, 147,19,71,序號、工程名稱、主辦單位、契約金額、查核日期、通知方式、評分、工程類別,
18,103年高雄市公有土地筆數統計表,,高雄市政府,,,39,3,44,"區名,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積,其他總筆數,",
19,高雄市商店街區行銷活動補助執行情形,,高雄市政府,,,10,22,57,"項次,申請單位,計畫名稱,核定金額",
20,103年高雄1999派工資料,,高雄市政府,,, 12,29,44,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
21,高雄市獎勵會議展覽活動實施辦法申請案件辦理情形,,高雄市政府,,, 27,23,54,103年度高雄市獎勵會議展覽活動實施辦法申請案件辦理情形,
22,104年列管計畫進度,,高雄市政府,,," 1,032",38,63,項次、主管機關、計畫名稱、預定進度、實際進度、預定支用數、實際支用數,
23,104年高雄市政府1999話務中心服務量趨勢圖,,高雄市政府,,, 365,68,94,"""日期"",""進線總電話量"",""按1轉客服人員數"",""客服人員應答數"",""電話掛斷數"",""電話外撥數"",""電話處理總數"",""服務水準%"",""平均等待時間"",""平均通話時間""",
24,104年高雄市政府1999話務中心派工受理前三名機關統計表,,高雄市政府,,, 36,56,54,執行機關、派工件數、受理比率(%),
25,104年高雄市政府1999話務中心客服人員滿意度指標,,高雄市政府,,,365,41,81,"問卷樣本數：654統計起日(來信日期)"",""迄日"",""問題各項滿意度指標%",
26,高雄市104年前50大易肇事路口,,高雄市政府,,, 50,27,107,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
27,105年度支用道路交通安全預算辦理情形-高市62302運用大眾傳播媒體宣導計畫,,高雄市政府,,, 1,7,36,"機關別,項次,廣告主要內容,托播對象,刊登\播出時間,刊登\播出次數,金額,經費來源 (並請註明計畫編 號)",
28,天然氣瓦斯供氣戶數(104年8月),,高雄市政府,,, 1,2,47,天然氣瓦斯供氣戶數(104年8月),
29,高雄市104年度A1交通事故地點資料,,高雄市政府,,, 173,13,77,"發生時間,發生地點,死亡受傷人數,車種,",
30,高雄市104年度A2交通事故地點資料,,高雄市政府,,, 53580,12,89,"發生時間,發生地點,死亡受傷人數,車種,",
31,高雄市104年度取締未依規定兩段式左轉前十大路口,,高雄市政府,,, 10,5,35,"路口,取締件數,",
32,大寮區基本資料表104年,,高雄市政府,,,11 ,69,42,104年1月大寮區基本資料表,
33,104年高雄市解徵地政規費,,高雄市政府,,,4,33,41,"規費名稱,徵收數,解庫數,備註",
34,104年空氣污染物連續自動監測設施(CEMS),,高雄市政府,,, 12,73,81,104年1月空氣污染物連續自動監測設施(CEMS),
35,104年消保官查核行程一覽表,,高雄市政府,,, 1,7,33,104年消保官查核行程一覽表,
36,高雄市104年登革熱緊急防治噴藥資料,,高雄市政府,,,1200,35,83,"場次,執行日期,執行區別,執行里別",
37,104年公文時效統計,,高雄市政府,,, 111,51,74,公文性質、應辦件數、辦結件數、辦結率%,
38,高雄市104年度取締酒後駕車前十大路口,,高雄市政府,,, 10,8,34,路口、取締件數,
39,104年高雄市不同權屬土地筆數統計,,高雄市政府,,, 1,2,26,"區名/項目,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積	其他總筆數",
40,104年消保官教育宣導彙整表,,高雄市政府,,, 1,5,41,"編號,日期,邀請單位,講座名稱,參加人員",
41,高雄市104年火災公務統計報表,,高雄市政府,,,12,73,67,高雄市104年1月火災公務統計報表,
42,104年高雄市不同權屬土地面積統計,,高雄市政府,,, 1,2,29,"區名/項目,全部土地總面積,公有土地總面積,私有土地總面積,公私共有土地總面積,其他總面積",
43,104年高雄市公有土地面積統計,,高雄市政府,,, 1,4,44,"區名/項目,公有土地總面積,國有土地總面積,省有土地總面積,高雄市有土地總面積,高雄市共有土地總面積,其他總面積",
44,104年高雄市公有土地筆數統計,,高雄市政府,,,1,3,35,"區名/項目,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積,其他總筆數,",
45,104年高雄市土地及建物登記管理,,高雄市政府,,,4,40,43,高雄市土地及建物登記管理(104年6月),
46,104年高雄市土地段名代碼表,,高雄市政府,,,1381,10,45,"縣市別,行政區名,地段名,地段代碼",
47,104年高雄市土地公告現值,,高雄市政府,,,1430403,5,65,"縣市,行政區,地段名,地號(母號+子號),公告現值,",
48,大社區104年度執行仁大工業區敦親睦鄰回饋金明細表,,高雄市政府,,, 1,5,21,項目、收入、支出、附表等,
49,104年高雄1999派工資料,,高雄市政府,,, 12,26,70,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Lat：緯度,Lng：經度",
50,自行研究報告(辦理至104年度),,高雄市政府,,, 489,10,68,"No,年度,獲獎等第,研究計畫,連結網址,摘要,連結網址2,委託機關,類別",
51,104年高雄市不動產拍賣統計,,高雄市政府,,,5,25,47,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
52,104年高雄市不動產買賣統計,,高雄市政府,,,38,71,84,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
53,104年高雄市不動產抵押權設定統計,,高雄市政府,,, 40,25,32,"區名,件數,土地筆數,土地面積(M2),建物棟(戶)數,建物面積(M2)",
54,104年高雄市消費者服務中心受理消費爭議件數一覽表,,高雄市政府,,, 1,37,162,高雄市消費者服務中心104年受理消費爭議件數一覽表,
