編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,金門縣107年6月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
2,金門縣107年5月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
3,金門縣107年4月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
4,金門縣107年3月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
5,金門縣歷史建築列表,/金門縣文化局/文化資產課,金門縣政府,,,,,,名稱、地址、公告日期,
6,金門縣定古蹟永昌堂暨浯陽小學校修復及再利用計畫成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,緒論、僑鄉金門:歷史文化變遷、永昌堂暨浯陽小學校歷史與建築特色、永昌堂暨浯陽小學校修復及再利用計畫,
7,金門縣歷史建築鄭由整洋樓調查研究成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,計畫緣起及研究背景、聚落環境及歷史建築變遷史料考察與文獻回顧、歷史建築現況形式分析與損壞紀錄、歷史建築本體保存與修復對策、歷史建築整體保存與再利用計畫建議,
8,金門縣定古蹟王金城洋樓修復及再利用計畫成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,緒論、僑鄉金門:歷史文化變遷、王金城洋樓歷史與建築特色、王金城洋樓修復及再利用計畫,
9,金門縣定古蹟董允耀洋樓修復及再利用計畫成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,緒論、地方歷史背景與聚落空間現況、洋樓歷史與建築特色、現況調查與評估、修復及再利用計畫,
10,金門縣歷史建築許金鐘洋樓修復或再利用計畫成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,歷史研究、建築研究、環境與建築空間現況研究、保存修復與再利用計畫、日常管理維護與因應計畫建議、研究結論與後續建議,
11,金門縣定古蹟陳期宰洋樓修復及再利用計畫成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,研究緣起與目的、地方歷史背景與聚落空間現況、洋樓歷史與建築特色、現況調查與評估、修復及再利用計畫,
12,金門縣縣定古蹟藏興古厝調查研究成果,/金門縣文化局/文化資產課,金門縣政府,,,,,,歷史發展、古厝建築研究、建築現況調查評估、保存與再利用計畫、結論與建議,
13,金門縣歷史建築張文帝洋樓修復或再利用計畫成果報告,/金門縣文化局/文化資產課,金門縣政府,,,,,,歷史研究、洋樓建築研究、建築現況調查與評估、再利用計畫、結論與建議,
14,金門縣107年2月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
15,金門縣公費流感抗病毒藥劑合約院所名冊,/金門縣衛生局/疾病管制科,金門縣政府,,,,,,"合約院所名稱,地址,電話",
16,金門縣107年1月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
17,金門縣106年12月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
18,金門縣106年11月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
19,金門縣輔具資源中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、設立日期、公/私立、機構名稱、地址、電話、傳真、服務項目、委辦單位、	負責人,
20,金門縣105年兒童及少年生活狀況與福利需求調查,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,兒童及少年生活狀況與福利需求調查,
21,金門縣身心障礙者福利服務中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、名稱、公/私立、地址、電話、服務時間、委辦單位、負責人,
22,金門縣婦女福利服務中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、名稱、公/私立、地址、電話、服務時間、委辦單位、負責人,
23,金門縣公私協力托育資源服務中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、中心名稱、公/私立、地址、電話	傳真、服務時間、委託單位、負責人,
24,金門縣家庭福利服務中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、機構名稱、公/私立、地址、電話	傳真、服務項目、服務時間、負責人,
25,金門縣兒少福利機構中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、公/私立、機構名稱、地址、電話	傳真、收托人數、服務時間、委辦單位、	負責人,
26,金門縣居家托育服務中心名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,中心名稱、公/私立、地址、電話、服務時間、委託單位、負責人,
27,金門縣合作社名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、團體名稱、社員人數、電話、立案登記證、會址,
28,金門縣疏散避難地圖,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,中/文版、鄉鎮公所、村里別,
29,金門縣社會福利地圖,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,名稱、主類別、次類別、地址、電話,
30,金門縣政府公益彩券盈餘運用情形說明會議紀錄,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,時間、地 點、主 持 人、出席人員、公彩運用情形說明,
31,金門縣政府公益彩券盈餘分配辦理社會福利事業情形季報表,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,福利類別及項目、本年度預算數、第1季執行數、第2季執行數、第3季執行數、 第4季執行數、本年度1月起至本季截止累計執行數、執行率（%）、備註,
32,金門縣重大災害民生物資庫存明細表,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,縣市鄉鎮、物資存放點、主/次分類、品名、最小單位規格、庫存數量、單位、保存期限,
33,金門縣社區發展協會名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、發展協會名稱、理事長、會址,
34,金門縣托嬰中心一覽表,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,項次、托嬰中心名稱、承辦單位、立案字號、可收托人數、地址、電話,
35,金門縣社區照顧關懷據點名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、名稱、聯絡人、電話、會址、成立日期、統編,
36,旅台各金門同鄉會名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、單位住址、同鄉會理事長、同鄉會總幹事、連絡電話,
37,金門縣旅居海外各華僑社團名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、單位地址、僑社主持人、僑社連絡人、連絡電話,
38,金門縣人民團體名冊,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,編號、團體名稱、會址、會址電話,
39,金門縣106年10月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
40,金門縣社會福利館,/金門縣政府/社會處/社會福利科,金門縣政府,,,,,,場地使用管理辦法及場地使用收費一覽表,
41,106年8月份金門縣統計月報,/金門縣政府/主計處/統計科,金門縣政府,,,,,,本月報內容分為土地、人口、社會、經濟、政治組織、農業、林業、漁業、畜牧、水利、工商、公用事業、教育、警政、交通、觀光及財政等17類，計47表及7圖，總計43頁。,
42,105年金門縣統計年報,/金門縣政府/主計處/統計科,金門縣政府,,,,,,本年報內容分為土地、人口、行政組織、農林漁牧、工商業及縣建設、金融財稅、交通運輸、教育文化、衛生、環境保護、社會福利、勞工行政、社會治安、家庭收支及其他等15類，凡155表，共計522頁。,
43,金門縣106年9月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
44,金門縣106年8月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
45,金門縣106年7月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
46,金門縣106年6月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
47,金門縣106年5月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
48,金門縣106年4月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
49,金門縣106年3月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
50,金門縣106年2月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
51,金門縣政府106年度查獲涉嫌違反菸酒管理法案件數量統計表,/金門縣政府/財政處/菸酒管理科,金門縣政府,,,,,,查獲涉嫌違反菸酒管理法案件數量統計表,
52,金門縣106年1月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
53,金門縣105年12月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
54,金門縣105年11月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
55,金門縣105年10月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
56,金門縣環境教育人員認證名單,/金門縣環境保護局/行政科,金門縣政府,,,,,,姓名、辦理環境教育工作之事項、專業領域、聯絡電話(公)、聯絡電話(私)、行動電話、電子郵件、認證核准字號、縣市別、證書狀態,
57,105年8月份金門縣統計月報,/金門縣政府/主計處/統計科,金門縣政府,,,,,,本月報內容分為土地、人口、社會、經濟、政治組織、農業、林業、漁業、畜牧、水利、工商、公用事業、教育、警政、交通、觀光及財政等17類，計47表及7圖，總計43頁。,
58,104年度金門縣統計年報,/金門縣政府/主計處/統計科,金門縣政府,,,,,,五、	本年報內容分為土地、人口、行政組織、農林漁牧、工商業及縣建設、金融財稅、交通運輸、教育文化、衛生、環境保護、社會福利、勞工行政、社會治安、家庭收支及其他等15類，凡155表，共計520頁。,
59,金門縣政府教育處資訊服務網,/金門縣政府/教育處/學管科,金門縣政府,,,,,,公告、編輯分類,
60,金門縣環境教育設施場所,/金門縣環境保護局/行政科,金門縣政府,,,,,,設施場所名稱、設施場所地址或座落、申請單位全銜、申請單位統一編號、申請單位地址、負責人姓名、全職環教專業人員、聯絡電話、電子郵遞地址、設施場所網址、認證核准字號、核准日期、有效期限,
61,金門縣105年9月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
62,金門縣105年8月份人口數統計表,/金門縣政府/民政處/戶政科,金門縣政府,,,,,,村里別、鄰數、戶數、總人口數、男數、女數、出生、死亡、結婚、離婚、遷入、遷出人數,
