編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,南投縣集集鎮防災避難地圖,消防局,,,,1,,,,2018-07-02T02:27:27.485932
2,南投縣政府消防局檢修申報執行統計,消防局,,,,1,,,,2017-03-02T07:09:50.248551
3,102年金融財稅統計年報,主計處,,,,12,,,,2018-03-31T06:38:38.795910
4,103年度人事統計要覽,人事處,,,,4,,,,2018-05-17T06:37:43.693648
5,103年金融財稅統計年報,主計處,,,,12,,,,2018-03-31T06:38:00.246785
6,南投縣稅捐未徵數情形,稅務局,,,,2,,,,2018-05-17T06:45:08.788110
7,南投縣政府警察局警光山莊,警察局,,,,1,,,,2018-05-31T03:35:18.958001
8,南投縣政府稅務局歲入來源別預算表,稅務局,,,,2,,,,2018-05-17T06:41:30.515513
9,南投縣鹿谷鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:24:43.425814
10,南投縣道路交通事故資料統計表,警察局,,,,2,,,,2018-06-04T03:39:15.059947
11,105年南投縣政府財產量值總目錄,財政處,,,,1,,,,2017-03-14T08:40:50.157909
12,南投縣107年度流感抗病毒藥劑合約醫療機構名冊一覽表,衛生局,,,,1,,,,2018-02-13T04:15:42.819617
13,南投縣埔里鎮防災避難地圖,消防局,,,,1,,,,2018-07-02T02:29:05.789087
14,南投縣水里鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:27:08.366351
15,臺灣銀行股份有限公司南投分公司擬轉委託代理縣分庫暨代收稅款處之金融機構一覽表    (106.3.17版),財政處,,,,1,,,,2018-06-11T02:31:38.004290
16,105年南投縣政府縣庫支付年報表,財政處,,,,1,,,,2018-06-04T08:30:17.325661
17,南投縣政府消防局消防安全列管數量統計,消防局,,,,1,,,,2017-03-02T07:07:44.520042
18,南投縣合法保全公司,警察局,,,,1,,,,2018-05-31T03:23:42.802428
19,南投縣使用牌照稅徵績,稅務局,,,,1,,,,2017-11-22T06:14:26.285213
20,南投縣政府稅務局歲入來源別決算表,稅務局,,,,1,,,,2017-10-18T09:50:33.543582
21,南投縣房屋地段等級評定表,稅務局,,,,1,,,,2018-03-31T07:06:21.804701
22,南投縣政府消防局防焰制度執行情形,消防局,,,,1,,,,2017-03-02T07:11:31.075186
23,南投縣免費wifi無線網路熱點,計畫處,,,,1,,,,2018-05-28T01:22:28.028573
24,南投縣電梯設備工程費概算表,稅務局,,,,1,,,,2018-03-31T07:07:48.702610
25,南投縣未變性酒精販賣業者查詢,財政處,,,,2,,,,2018-06-28T06:53:24.224536
26,南投縣政府專戶存款支票兌付地點,財政處,,,,1,,,,2018-05-17T06:52:49.652195
27,106年南投縣流感疫苗接種合約院所一覽表,衛生局,,,,1,,,,2018-02-08T03:24:32.875381
28,南投縣政府「縣民時間」辦理時間表,計畫處,,,,2,,,,2018-05-29T08:06:50.917685
29,南投縣仁愛鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:28:21.309544
30,105-106-107年度南投縣政府及所轄鄉鎮市公所最新債務訊息,財政處,,,,14,,,,2018-07-08T02:23:38.159805
31,南投縣政府稅務局歲出機關別預算表,稅務局,,,,2,,,,2018-05-22T06:41:11.694163
32,南投縣政府消防局燃氣熱水器承裝業及其技術士合格名冊,消防局,,,,1,,,,2017-03-02T07:12:55.532121
33,106年南投縣政府財產量值總目錄,財政處,,,,1,,,,2018-07-10T07:28:28.279570
34,南投縣房屋標準單價表,稅務局,,,,2,,,,2018-03-31T07:05:39.216597
35,104年金融財稅統計年報,主計處,,,,12,,,,2018-05-17T06:28:05.111374
36,南投縣魚池鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:26:45.546193
37,南投縣中寮鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:30:10.199589
38,南投縣草屯鎮防災避難地圖,消防局,,,,1,,,,2018-07-02T02:29:47.048101
39,南投縣使用牌照稅稅源,稅務局,,,,2,,,,2018-05-17T06:43:48.441155
40,南投縣政府消防局為民服務統計,消防局,,,,1,,,,2017-03-02T06:26:36.274419
41,南投縣失蹤人口統計,警察局,,,,2,,,,2018-06-07T14:13:08.773708
42,南投縣名間鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:27:49.253790
43,南投縣房屋稅徵績,稅務局,,,,1,,,,2017-11-22T06:14:41.828992
44,南投縣防空避難設備統計表,警察局,,,,2,,,,2018-05-31T03:49:48.429076
45,南投縣火災次數分類及時間月報,消防局,,,,1,,,,2017-03-02T07:14:33.977356
46,104年度人事統計要覽,人事處,,,,4,,,,2018-03-31T06:49:44.852695
47,105年金融財稅統計年報,主計處,,,,12,,,,2018-05-16T08:50:16.376784
48,南投縣各項稅收稽徵成本,稅務局,,,,2,,,,2018-05-16T08:44:49.253227
49,南投縣信義鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:26:15.285578
50,南投縣政府綜合大樓親子放映室播放影片節目表,計畫處,,,,2,,,,2018-05-28T02:47:09.117860
51,104年南投縣政府財產量值總目錄,財政處,,,,1,,,,2018-03-31T06:54:11.115454
52,南投縣地價稅滯納期滿徵績表,稅務局,,,,2,,,,2018-05-17T06:50:25.573777
53,南投縣政府稅務局歲出機關別決算表,稅務局,,,,1,,,,2017-10-18T09:52:02.426515
54,南投縣政府警察局違規車輛保管場,警察局,,,,1,,,,2018-05-31T03:27:58.221896
55,南投縣查(核)定開徵數情形,稅務局,,,,2,,,,2018-05-17T06:49:25.017535
56,南投縣國姓鄉防災避難地圖,消防局,,,,1,,,,2018-07-02T02:29:24.600613
57,100年金融財稅統計年報,主計處,,,,11,,,,2018-03-31T06:39:12.008030
58,101年金融財稅統計年報,主計處,,,,11,,,,2018-03-31T06:32:24.633405
59,106年南投縣財政處支付作業綜合年報表,財政處,,,,1,,,,2018-07-10T07:28:55.897319
60,南投縣補習班,教育處,,,,2,,,,2017-02-15T08:51:06.215614
61,南投縣各項稅收稽徵人力,稅務局,,,,2,,,,2018-07-02T01:46:41.909547
62,南投縣休閒農業區,農業處,,,,1,,,,2018-03-31T06:44:30.596293
63,南投縣形象商圈聯絡資訊,建設處,,,,1,,,,2016-06-28T04:00:17.751913
64,南投縣合法私立公墓一覽表,民政處,,,,1,,,,2016-06-28T08:26:55.653243
65,南投縣合法私立火化場一覽表,民政處,,,,1,,,,2016-06-28T08:27:29.482767
66,南投縣公私立骨灰（骸）存放設施【納骨塔】清冊,民政處,,,,2,,,,2018-05-17T06:07:31.717454
67,南投縣教會堂,民政處,,,,2,,,,2016-06-28T05:56:29.098851
68,南投縣各級學校基本資料,教育處,,,,2,,,,2018-05-17T06:03:22.664348
69,南投縣學區劃分表,教育處,,,,2,,,,2018-05-07T07:34:33.569484
70,南投縣私立幼兒園通訊資料,教育處,,,,2,,,,2018-05-16T06:13:38.310301
71,南投縣公立幼兒園通訊資料,教育處,,,,2,,,,2018-05-16T07:20:25.003035
72,南投縣菸酒進口業者資料查詢,財政處,,,,2,,,,2018-06-28T06:59:59.897142
73,南投縣菸酒製造業者資料查詢,財政處,,,,2,,,,2018-06-28T06:58:50.355549
74,南投縣轄儲蓄互助社資料查詢名單,財政處,,,,2,,,,2018-06-28T06:58:06.093139
