編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,嘉義市管線挖掘資訊,嘉義市政府,嘉義市政府,,,,,,"AC_NO(許可證號),CASE_ID(案件編號),CONST_NAME(工程名稱),LOCATION(工程地點),A_UN(核定單位),ABE_DA(核定挖掘起日),AEN_DA(核定挖掘迄日),ADG_DA(核定工期日數),DACO_TI(核定日間施工時段),NACO_TI(核定夜間施工時段),AREA_TA(申請施工面積),UN_NA(管線單位名稱),UR_NA(管線單位聯絡人),UR_DR(聯絡地址),UR_TI(聯絡電話),DG_STATUS(施工狀態),CENTER_COORDS(施工範圍中心點坐標),POLY_LIST(案件範圍點位),LASTMOD(最後異動日期)",
2,嘉義市西區107年1-6月各里人口數統計,嘉義市西區戶政事務所,嘉義市政府,,,,,,"村里 ,鄰數 ,戶數 ,男 ,女,人數合計",
3,嘉義市慈善會團體,嘉義市政府社會處,嘉義市政府,,,33,,,"編號,團體名稱,理事長,連絡電話,傳真,聯絡人,地址(會址),成立時間,會員人數,備註",
4,「輪椅趴趴GO」計畫－輪椅服務站設置地點聯絡表,嘉義市政府衛生局,嘉義市政府,,,27,,,"編號,地點,設置輪椅,設置地點,位置,聯絡電話,設置數量,緯度,經度",
5,嘉義市iTaiwan WiFi無線網路熱點,嘉義市政府智慧科技處,嘉義市政府,,,152,,,"編號,熱點名稱,地址",
6,嘉義市政府最新債務訊息,嘉義市政府財政稅務局,嘉義市政府,,,12,,,"1年以上債務未償餘額,短期債務未償餘額,平均每人負擔債務,自償性債務未償餘額（含非營業特種基金)",
7,嘉義市東區106年各里低收入戶、中低收入戶、獨居老人人數統計表,嘉義市東區區公所,嘉義市政府,,,,,,"聯合里,里別,人數",
8,嘉義市西區106年各里低收入戶、中低收入戶、獨居老人人數統計表,嘉義市西區區公所,嘉義市政府,,,,,,里別、人數,
9,107年嘉義市公告土地現值及公告地價,嘉義市政府,嘉義市政府,,,,,,"年度,縣市名稱,鄉鎮市區代碼,段名代碼,地號,金額",
10,嘉義市區公所資訊,嘉義市政府,嘉義市政府,,,12,,,"單位名稱,課室名稱,業務職掌,服務電話,傳真,地址",
11,嘉義市客家人文地產景資料庫,嘉義市政府,嘉義市政府,,,47,,,"spot_name(地點名稱),spot_introduction(地點介紹),spot_address(地址),spot_lat(坐標緯度),spot_lng(坐標經度),spot_image(圖片連結)",
12,嘉義市書店地圖,嘉義市政府文化局,嘉義市政府,,,23,,,"行政區,店名,地址,電話,坐標(緯度),坐標(經度)",
13,嘉義市殯葬管理所每月納骨塔使用資料,嘉義市政府,嘉義市政府,,,,,,"DateOfApplication(申請日期),UseType(塔位類別),DateOfEntry(晉塔日期),DeadSex(性別),DeadName(亡者姓名),DeadNativePlace(亡者戶籍地),DateOfBirth(亡者出生日期),DateOfDead(亡者死亡日期)",
14,嘉義市殯葬管理所每月化妝室使用資料,嘉義市政府,嘉義市政府,,,,,,"UserDate(使用日期),DeadSex(性別),DeadName(亡者姓名),DateOfBirth(亡者出生日期),DateOfDead(亡者死亡日期),DeadNativePlace(亡者戶籍地)",
15,嘉義市殯葬管理所每月禮廳使用資料,嘉義市政府,嘉義市政府,,,,,,"UserDate(使用日期),HallName(禮廳名稱),DeadSex(性別),DeadName(亡者姓名),DateOfBirth(亡者出生日期),DateOfDead(亡者死亡日期),DeadNativePlace(亡者戶籍地)",
16,嘉義市殯葬管理所每月小靈位使用資料,嘉義市政府,嘉義市政府,,,,,,"UserDate(使用日期),DeadSex(性別),DeadName(亡者姓名),DateOfBirth(亡者出生日期),DateOfDead(亡者死亡日期),DeadNativePlace(亡者戶籍地)",
17,嘉義市殯葬管理所每月冰存使用資料,嘉義市政府,嘉義市政府,,,,,,"UserDate(使用日期),DeadSex(性別),DeadName(亡者姓名),DateOfBirth(亡者出生日期),DateOfDead(亡者死亡日期),DeadNativePlace(亡者戶籍地)",
18,嘉義市殯葬管理所每月火化使用資料,嘉義市政府,嘉義市政府,,,,,,"UserDate(火化日期),DeadSex(性別),DeadName(亡者姓名),DateOfBirth(亡者出生日期),DateOfDead(亡者死亡日期),DeadNativePlace(亡者戶籍地)",
