編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,澎湖縣湖西鄉休閒趣處,澎湖縣湖西鄉公所/澎湖縣湖西鄉公所,,,,,,,澎湖縣 湖西好鄉 村村好讚,
2,澎湖縣湖西鄉災防訊息,澎湖縣湖西鄉公所/澎湖縣湖西鄉公所,,,,,,,澎湖縣湖西鄉 避難收容場所 防救災據點,
3,澎湖縣縣有財產委託經營案件明細表,財政處/公有財產科,,,,8,,,委託機關、委託經營名稱、委託經營期間、訂約權利金、經營權利金、備註,
4,澎湖縣縣有財產總目錄(近5年),財政處/公有財產科,,,,46,,,分類項目、筆(棟)數、面積、金額.年度,
5,澎湖縣白沙鄉人口年齡層統計,澎湖縣白沙鄉戶政事務所/澎湖縣白沙鄉戶政事務所,,,,26,,,０~４歲、５～９歲、１０～１４歲、１５～１９歲、２０～２４歲、２５～２９歲、３０～３４歲、３５～３９歲、４０～４４歲、４５～４９歲、５０～５４歲、５５～５９歲、６０～６４歲、６５～６９歲、７０～７４歲、７５～７９歲、８０～８４歲、８５～８９歲、９０～９４歲、９５歲～９９歲、１００歲以上,
6,澎湖縣白沙鄉戶籍動態統計,澎湖縣白沙鄉戶政事務所/澎湖縣白沙鄉戶政事務所,,,,306,,,戶數、人口數、出生、死亡、遷入、遷出、結婚、離婚,
7,澎湖縣七美鄉人口年齡層統計,澎湖縣七美鄉戶政事務所/澎湖縣七美鄉戶政事務所,,,,13,,,０歲~４歲、５~９歲、１０歲~１４歲、１５歲~１９歲、２０~２４歲、２５~２９歲、３０~３４歲、３５~３９歲、４０~４４歲、４５~４９歲、５０~５４歲、５５~５９歲、６０~６４歲、６５~６９歲、７０~７４歲、７５~７９歲、８０~８４歲、８５~８９歲、９０~９４歲、９５~９９歲、１００歲以上,
8,澎湖縣七美鄉戶籍動態統計,澎湖縣七美鄉戶政事務所/澎湖縣七美鄉戶政事務所,,,,85,,,戶數、人口數、遷入人數、遷出人數、嬰兒出生總數、死亡人數、結婚對數、離婚對數,
9,澎湖縣馬公市颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,,,,50,,,澎湖縣馬公市颱(洪)災害、地震災害避難收容場所一覽表,
10,澎湖縣湖西鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,,,,26,,,澎湖縣湖西鄉颱(洪)災害、地震災害避難收容場所一覽表,
11,澎湖縣白沙鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣白沙鄉颱(洪)災害、地震災害避難收容場所一覽表,
12,澎湖縣西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表,
13,澎湖縣望安鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣望安鄉颱(洪)災害、地震災害避難收容場所一覽表,
14,澎湖縣七美鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,,,,12,,,澎湖縣七美鄉颱(洪)災害、地震災害避難收容場所一覽表,
15,澎湖縣馬公市海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣馬公市海嘯災害臨時避難處一覽表,
16,澎湖縣湖西鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣湖西鄉海嘯災害臨時避難處一覽表,
17,澎湖縣白沙鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣白沙鄉海嘯災害臨時避難處一覽表,
18,澎湖縣西嶼鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣西嶼鄉海嘯災害臨時避難處一覽表,
19,澎湖縣望安鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣望安鄉海嘯災害臨時避難處一覽表,
20,澎湖縣七美鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,,,,,,,澎湖縣七美鄉海嘯災害臨時避難處一覽表,
21,澎湖縣出動消防人車次艇統計表,澎湖縣政府消防局/救災救護指揮中心,,,,13,,,月份、受理案件數、出動消防人力、出動消防車及救護車車次,
