編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,臺灣屏東地方法院104年度預算案,臺灣屏東地方法院,屏東縣政府,,,,54,899,科目名稱、本年度預算數、上年度預算數、本年度與上年度比較、說明、預算金額、承辦單位、項目內容、法令依據、計畫內容、預期成果,
2,臺灣屏東地方法院104年度法定預算,臺灣屏東地方法院,屏東縣政府,,,,56,863,科目名稱、本年度預算數、上年度預算數、本年度與上年度比較、說明、預算金額、承辦單位、項目內容、法令依據、計畫內容、預期成果,
3,103年度臺灣屏東地方法院單位決算,臺灣屏東地方法院,屏東縣政府,,,,32,648,103年度臺灣屏東地方法院單位決算,
4,臺灣屏東地方法院104年1-6月會計月報,臺灣屏東地方法院,屏東縣政府,,,,41,1259,經費類平衡表、經費類現金出納表、經費累計表歲入累平衡表、歲入類現金出納表、歲入累計表、以前年度保留數餘額表,
5,104年7月台灣屏東地方法院會計月報,臺灣屏東地方法院,屏東縣政府,,,,21,855,經費類及歲入類平衡表、經費及歲入現金出納表、經費及歲入累計表、以前年度歲入保留數餘額表,
6,臺灣屏東地方法院105年度預算案,臺灣屏東地方法院,屏東縣政府,,,,32,635,科目名稱、本年度預算數、上年度預算數、本年度與上年度比較、說明、預算金額、承辦單位、項目內容、法令依據、計畫內容、預期成果,
7,臺灣屏東地方法院104年度會計月報,臺灣屏東地方法院,屏東縣政府,,,,216,823,經費類平衡表、經費類現金出納表、經費累計表、歲入類平衡表、歲入類現金出納表、歲入累計表、以前年度歲入保留數餘額表,
8,臺灣屏東地方法院105年度法定預算,臺灣屏東地方法院,屏東縣政府,,,,25,465,科目名稱、本年度預算數、上年度預算數、本年度與上年度比較、說明、預算金額、承辦單位、項目內容、法令依據、計畫內容、預期成果,
9,臺灣屏東地方法院105年度會計月報,臺灣屏東地方法院,屏東縣政府,,,,188,459,歲入累計表、經費累計表等13表,
10,104年度臺灣屏東地方法院單位決算,臺灣屏東地方法院,屏東縣政府,,,,15,540,104年度臺灣屏東地方法院單位決算,
11,臺灣屏東地方法院106年度預算案,臺灣屏東地方法院,屏東縣政府,,,,37,498,科目名稱、本年度預算數、上年度預算數、本年度與上年度比較、說明、預算金額、承辦單位、項目內容、法令依據、計畫內容、預期成果,
12,臺灣屏東地方法院106年度會計報告,臺灣屏東地方法院,屏東縣政府,,,,2,104,歲入累計表、經費累計表、平衡表、資本資產表等報表,
13,臺灣屏東地方法院106年度法定預算,臺灣屏東地方法院,屏東縣政府,,,,1,67,科目名稱、本年度預算數、上年度預算數、本年度與上年度比較、說明、預算金額、承辦單位、項目內容、法令依據、計畫內容、預期成果,
14,臺灣屏東地方法院105年度單位決算,臺灣屏東地方法院,屏東縣政府,,,,2,55,臺灣屏東地方法院105年度單位決算,
15,臺灣屏東地方法院106年7月會計報告,臺灣屏東地方法院,屏東縣政府,,,,7,73,,
16,臺灣屏東地方法院107年度預算案,臺灣屏東地方法院,屏東縣政府,,,,5,86,,
17,臺灣屏東地方法院106年8月會計報告,臺灣屏東地方法院,屏東縣政府,,,,3,84,,
18,屏東縣政府暨所轄鄉鎮市公所公共債務情形,屏東縣政府,屏東縣政府,,,,17,106,1年以上債務未償餘額、短期債務未償餘額、平均每人負擔債務、自償性債務未償餘額（含非營業特種基金,
19,臺灣屏東地方法院106年9月會計報告,臺灣屏東地方法院,屏東縣政府,,,,0,30,,
20,臺灣屏東地方法院106年10月會計報告,臺灣屏東地方法院,屏東縣政府,,,,0,35,,
21,屏東縣政府縣政信箱1999資訊,屏東縣政府,屏東縣政府,,,,10,86,縣市名稱、縣市內1999電話、縣市外1999電話、縣市市政信箱網頁、縣市市政電子郵件信箱地址,
22,臺灣屏東地方法院106年11月會計報告,臺灣屏東地方法院,屏東縣政府,,,,1,31,,
23,臺灣屏東地方法院106年12月會計報告,臺灣屏東地方法院,屏東縣政府,,,,0,35,,
24,臺灣屏東地方法院107年1月會計報告,臺灣屏東地方法院,屏東縣政府,,,,1,51,,
25,臺灣屏東地方法院107年度法定預算,臺灣屏東地方法院,屏東縣政府,,,,0,46,款、項、目、節、科目名稱、預算科目編號、人事費、業務費_經、奬補助費_經、債務費、預備金_經、經常支出小計、業務費_資、設備及投資、奬補助費_資、預備金_資、資本支出小計、合計、職能別分類經濟性分類、消費支出_經、債務利息_經、補助地方_經、移轉民間_經、小計_經、資本形成_資、土地購入_資、增資_資、補助地方_資、移轉民間_資、小計_資、總計,
26,臺灣屏東地方法院107年2月會計報告,臺灣屏東地方法院,屏東縣政府,,,,0,34,,
27,臺灣屏東地方法院107年3月會計報告,臺灣屏東地方法院,屏東縣政府,,,,0,23,,
28,臺灣屏東地方法院106年度單位決算,臺灣屏東地方法院,屏東縣政府,,,,3,27,,
29,臺灣屏東地方檢察署107年度會計報告,臺灣屏東地方檢察署,屏東縣政府,,,,0,38,會計年度、月份、款、項、目、節、預算年度、預算科目編號、預算科目名稱、細目編號、細目名稱、原預算數、追加減數、截至本月止累計分配數_1、本月實現數、截至本月止累計實現數_2、應收收入數_3、分配數預算餘額_4、分支計畫編號、分支計畫名稱、用途別編號、用途別名稱、第一預備金、第二預備金、經費流用數、預算調整數、應付數、已分配尚未執行數、備註_預暫付數、以前年度轉入數、應收數、保留數、減免、截至本月止累計實現數、調整數、尚未執行數、基金別、會計分類、使用機關別、科目分類、會計科目編號、會計科目名稱、金額、科目名稱、取得成本、以前年度累計折舊_長期投資評價、本年度資本資產成本變動_增加數、本年度資本資產成本變動_減少數、本年度累計折舊_長期投資評價變動數、期末帳面金額、備註、業務計畫或工作計畫、經資門、執行數、項目、收入實現數、減項_收入待納庫數、加項_以前年度待納庫繳庫數、加項_以前年度撥款於本年度繳還數_材料、加項_以前年度撥款於本年度繳還數_存出保證金、加項_以前年度撥款於本年度繳還數_其他應收款、加項_預收款、加項_剔除經費、繳付公庫數、一級用途別編號、一級用途別名稱、支出實現數、加項_預付款、加項_材料、加項_存出保證金、加項_零用金、加項_退還收入預收款、加項_其他應收款、減項_以前年度撥款於本年度實現數、公庫撥入數、公庫分配數餘額、金額_本月數、金額_累計數,
30,臺灣屏東地方法院107年4月會計報告,臺灣屏東地方法院,屏東縣政府,,,,1,23,,
31,臺灣屏東地方法院107年5月會計報告,臺灣屏東地方法院,屏東縣政府,,,,1,17,,
32,屏東縣火災統計分析表,屏東縣政府消防局,屏東縣政府,,,,3,7,Type(火災類型)、Quantity(數量),
33,屏東縣曾發生溺水事故水域清冊,屏東縣政府消防局,屏東縣政府,,,,0,3,years(年份)、town(鄉鎮)、location(地點),
34,屏東縣消防分隊駐地名冊,屏東縣政府消防局,屏東縣政府,,,,0,4,Unit(單位名稱)、Address(地址)、Phone number(電話),
