編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,基隆市最近5年地價稅稅源統計表,基隆市稅務局,基隆市政府,,,,99,1723,表一,
2,基隆市最近五年契稅綜合統計表,基隆市稅務局,基隆市政府,,,,56,576,、表四,
3,基隆伴手禮,基隆市政府產業發展處,基隆市政府,,,,395,2590,,
4,基隆十大食尚餐廳,基隆市政府產業發展處,基隆市政府,,,,371,2713,店名、電話、地址、推薦料理,
5,基隆優質餐廳,基隆市政府產業發展處,基隆市政府,,,,267,2407,店名、電話、地址、推薦料理,
6,臺灣基隆地方法院104年度單位預算案書,臺灣基隆地方法院,基隆市政府,,,,69,1092,歲出來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
7,臺灣基隆地方法院104年度單位預算書,臺灣基隆地方法院,基隆市政府,,,,51,975,歲出來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
8,基隆市優良衛生店家,基隆市衛生局,基隆市政府,,,,98,1087,年度、編碼、優良廠商項目、廠商名稱、營業地址、評核等級,
9,基隆市旅館商業同業公會會員名冊,基隆市衛生局,基隆市政府,,,,118,1722,會員名稱、地址、電話,
10,基隆市醫療院所名冊,基隆市衛生局,基隆市政府,,,,144,1578,醫療院所名稱、院所性質、地址、電話,
11,基隆市公告之室外禁菸場所,基隆市衛生局,基隆市政府,,,,82,1530,序、公告日期、公告機關、菸害防制法、禁菸範圍說明、公告地點、場所管理單位、所在地處,
12,臺灣基隆地方法院104年度會計報告,臺灣基隆地方法院,基隆市政府,,,,22,814,臺灣基隆地方法院會計月報,
13,臺灣基隆地方法院103年度決算,臺灣基隆地方法院,基隆市政府,,,,14,653,臺灣基隆地方法院103年度決算,
14,臺灣基隆地方法院105年度單位預算案書,臺灣基隆地方法院,基隆市政府,,,,52,660,歲出來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
15,基隆市政府公共債務訊息,基隆市政府財政處,基隆市政府,,,,129,1271,截至107年6月底止，本府公共債務情形如下：,
16,基隆市政府最新公共債務訊息,基隆市政府財政處,基隆市政府,,,,172,1665,截至107年6月底止，本府公共債務情形如下：,
17,臺灣基隆地方法院105年單位預算書,臺灣基隆地方法院,基隆市政府,,,,19,743,歲出來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
18,基隆市iTaiwan無線網路熱點,基隆市政府研考處,基隆市政府,,,,291,1516,熱點名稱、區域、地址,
19,基隆市四大癌症篩檢醫療院所,基隆市衛生局,基隆市政府,,,,33,484,區域、機構名稱、洽詢電話、可提供之檢查項目,
20,基隆市母嬰親善醫療院所,基隆市衛生局,基隆市政府,,,,28,538,院別、機構名稱、地址、電話,
21,基隆市兒童發展篩檢機構,基隆市衛生局,基隆市政府,,,,30,465,醫事機構名稱、地址、電話,
22,基隆市長照居家護理復健喘息合約機構,基隆市衛生局,基隆市政府,,,,34,643,服務別、機構名稱,
23,基隆市固定污染源空氣污染物監測數據-日報,基隆市環境保護局,基隆市政府,,,,121,928,Cno:中文廠名 DP_NO:煙囪編號 ITEM:中文測項 M_year:YYYY M_month:MM M_day:DD M_time:HH M_Val:測值 Code2:中文狀態,
24,基隆市哺集乳室資料庫,基隆市衛生局,基隆市政府,,,,33,583,場所、機構、場所名稱、地址、電話、開放時間、注意事項,
25,基隆市固定污染源空氣污染物監測數據-即時,基隆市環境保護局,基隆市政府,,,,75,811,Cno:中文廠名 DP_NO:煙囪編號 ITEM:中文測項 M_year:YYYY M_month:MM M_day:DD M_time:HHMM M_Val:測值 Code2:中文狀態,
26,臺灣基隆地方法院104年度單位決算,臺灣基隆地方法院,基隆市政府,,,,8,452,104年度單位決算,
27,臺灣基隆地方法院105年度會計月報,臺灣基隆地方法院,基隆市政府,,,,10,381,臺灣基隆地方法院105年度會計月報,
28,基隆市警察局105年道路交通事故統計,基隆市警察局,基隆市政府,,,,234,1037,、基隆市警察局、道路交通事故統計,
29,基隆市-學前教育,基隆市政府教育處,基隆市政府,,,,195,894,編號、行政區、園所名稱、、　　可招收人數、連絡電話,
30,基隆市衛生局104年度職員官等性別統計表,基隆市衛生局,基隆市政府,,,,35,431,類別及職等、總計、男、女、主管男性、主管女性、非主管男性、非主管女性,
31,基隆市衛生局105年度戒菸合約機構,基隆市衛生局,基隆市政府,,,,52,534,區域、機構名稱、洽詢電話、地址、可提供之檢查項目,
32,基隆市衛生局103年度單位決算,基隆市衛生局,基隆市政府,,,,59,426,名稱及編號、年度預算數、預算增減數、合計、實現數,
33,基隆市衛生局105年度單位預算,基隆市衛生局,基隆市政府,,,,60,1013,名稱及編號、年度預算數、,
34,基隆市餐飲衛生管理分級104年通過標章名單,基隆市衛生局,基隆市政府,,,,20,446,廠商市招名稱、營業登記名稱、電話、營業地址、評核等級,
35,基隆市105年糖尿病健康促進機構及醫師名單,基隆市衛生局,基隆市政府,,,,28,488,縣市別、醫院名稱、郵遞區號、住址、住址、電話、傳真、醫師,
36,基隆市104年流感合約院所,基隆市衛生局,基隆市政府,,,,35,450,序號、區別、院所名稱、合約類型、23PPV、地址、聯絡電話、有無提供自費疫苗、掛號費幼兒、掛號費老人、掛號費一般民眾、診察費幼兒、診察費一般民眾、醫材費、注射費、接種時段週一至五早上、接種時段週一至五下午、接種時段週一至五晚上、接種時段週六早上、接種時段週六下午、接種時段週六晚上、接種時段週日早上、接種時段週日下午、接種時段週日晚上,
37,臺灣基隆地方法院105年度1月份會計月報,臺灣基隆地方法院,基隆市政府,,,,17,409,1月份會計月報：歲入累計表等10張報表,
38,臺灣基隆地方法院105年度2月份會計月報,臺灣基隆地方法院,基隆市政府,,,,14,353,2月份會計月報：歲入累計表等10張,
39,臺灣基隆地方法院105年度3月份會計月報,臺灣基隆地方法院,基隆市政府,,,,13,417,3月份會計月報：歲入累計表等10張,
40,臺灣基隆地方法院105年度4月份會計月報,臺灣基隆地方法院,基隆市政府,,,,13,411,4月份會計月報：歲入累計表等10張,
41,臺灣基隆地方法院105年度5月份會計月報,臺灣基隆地方法院,基隆市政府,,,,23,400,5月份會計月報：歲入累計表等10張,
42,臺灣基隆地方法院105年度6月份會計月報,臺灣基隆地方法院,基隆市政府,,,,27,387,6月份會計月報：歲入累計表等10張,
43,臺灣基隆地方法院105年度7月份會計月報,臺灣基隆地方法院,基隆市政府,,,,52,487,7月份會計月報：歲入累計表等10張,
44,臺灣基隆地方法院106年單位預算案書,臺灣基隆地方法院,基隆市政府,,,,13,341,歲出來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
45,臺灣基隆地方法院105年度8月份會計月報,臺灣基隆地方法院,基隆市政府,,,,8,361,105年8月會計月報：歲入累計表等10張,
46,臺灣基隆地方法院104年度單位決算(行政院主計總處修正後),臺灣基隆地方法院,基隆市政府,,,,8,266,臺灣基隆地方法院104年度單位決算(行政院主計總處修正後),
47,基隆市105年公告土地現值及公告地價,基隆市政府地政處,基隆市政府,,,,114,1221,縣市別、行政區、段小段、地號、公告現值、公告地價,
48,臺灣基隆地方法院105年度9月份會計月報,臺灣基隆地方法院,基隆市政府,,,,8,248,105年9月會計月報：歲入累計表等10張,
49,105年基隆市公費克流感配置點,基隆市衛生局,基隆市政府,,,,6,164,十碼章、醫院名稱、縣市別、行政區、郵遞區號、地址、連絡電話、座標緯度、座標經度、備註、建立日期、更新日期,
50,105年10月會計月報：歲入累計表等10張,臺灣基隆地方法院,基隆市政府,,,,0,52,105年10月會計月報：歲入累計表等10張,
51,臺灣基隆地方法院105年度11月份會計月報,臺灣基隆地方法院,基隆市政府,,,,0,43,105年11月會計月報：歲入累計表等10張,
52,基隆市106年公告土地現值,基隆市政府地政處,基隆市政府,,,,6,157,縣市、行政區、段小段、地號、公告現值,
53,臺灣基隆地方法院105年度12月份會計月報,臺灣基隆地方法院,基隆市政府,,,,0,48,105年12月會計月報：歲入累計表等10張,
54,臺灣基隆地方法院106年度1月份會計月報,臺灣基隆地方法院,基隆市政府,,,,0,54,106年1月會計月報：歲入累計表等10張,
55,臺灣基隆地方法院105年度單位決算,臺灣基隆地方法院,基隆市政府,,,,0,72,105年度單位決算,
56,臺灣基隆地方法院106年單位預算書,臺灣基隆地方法院,基隆市政府,,,,0,83,歲出來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、公務車輛明細表、現有辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
57,臺灣基隆地方法院106年度2月份會計月報,臺灣基隆地方法院,基隆市政府,,,,0,74,106年2月會計月報：歲入累計表等10張,
58,基隆市最近五年房屋稅綜合統計表,基隆市稅務局,基隆市政府,,,,7,114,表三,
59,基隆市最近5年土地增值稅稅源統計表,基隆市稅務局,基隆市政府,,,,1,121,表二,
60,基隆市稅務局行政救濟案件統計表,基隆市稅務局,基隆市政府,,,,2,102,復查、訴願(經復查後提起訴願)、訴願(逕提訴願)、訴願再審、行政訴訟第一審、行政訴訟上訴審、行政訴訟再審之訴,
61,基隆市多元化繳稅統計表,基隆市稅務局,基隆市政府,,,,3,106,年度、金融機構臨櫃繳納、便利商店繳稅(SMK)、信用卡繳稅(CRD)、自動櫃員機轉帳繳稅(ATM)、活期(儲蓄)存款帳戶轉帳繳稅(NET、TEL)、晶片金融卡繳稅(EBC)、長期約定轉帳納稅,
62,臺灣基隆地方法院106年度3月份會計月報,臺灣基隆地方法院,基隆市政府,,,,0,86,106年3月會計月報：歲入累計表等10張,
63,臺灣基隆地方法院105年度單位決算(XML),臺灣基隆地方法院,基隆市政府,,,,0,46,臺灣基隆地方法院105年度單位決算：歲入來源別決算表等13張報表(XML),
64,臺灣基隆地方法院106年度4月份會計月報,臺灣基隆地方法院,基隆市政府,,,,0,57,106年4月會計月報：歲入累計表等10張,
65,基隆市流感抗病毒藥劑合約院所,基隆市衛生局,基隆市政府,,,,24,137,十碼章、醫院名稱、縣市別、行政區、郵遞區號、地址、聯絡電話、座標緯度、座標經度、備註,
