編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,104年度臺灣彰化地方法院單位預算XML,臺灣彰化地方法院,彰化縣政府,,,,36,1073,104年度臺灣彰化地方法院單位預算XML,
2,104年度臺灣彰化地方法院單位預算,臺灣彰化地方法院,彰化縣政府,,,,33,1126,104年度臺灣彰化地方法院單位預算,
3,104年度臺灣彰化地方法院單位預算案,臺灣彰化地方法院,彰化縣政府,,,,25,1032,104年度臺灣彰化地方法院單位預算案,
4,臺灣彰化地方法院103年度單位決算(XML),臺灣彰化地方法院,彰化縣政府,,,,21,773,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、歲入類平衡表、經費類平衡表、以前年度歲出機關別轉入數決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表,
5,臺灣彰化地方法院103年度單位決算(PDF),臺灣彰化地方法院,彰化縣政府,,,,22,694,臺灣彰化地方法院103年度單位決算(PDF),
6,臺灣彰化地方法院會計報告,臺灣彰化地方法院,彰化縣政府,,,,174,1059,臺灣彰化地方法院歲入類及經費類會計月報,
7,臺灣彰化地方法院105年度單位預算案,臺灣彰化地方法院,彰化縣政府,,,,33,614,臺灣彰化地方法院105年度單位預算案,
8,彰化縣政府公共債務,彰化縣政府財政處,彰化縣政府,,,,294,927,項目、1年以上債務未償餘額、短期債務未償餘額、平均每人負擔債務、自償性債務未償餘額 (含非營業特種金),
9,臺灣彰化地方法院105年度單位預算,臺灣彰化地方法院,彰化縣政府,,,,18,451,臺灣彰化地方法院105年度單位預算,
10,彰化縣火災案件起火原因統計,彰化縣消防局,彰化縣政府,,,,24,830,區　 域　 別、起火原因分縱火、起火原因分自殺、起火原因分燈燭、起火原因分爐火烹調、起火原因分敬神掃墓祭祖、起火原因分菸蒂、起火原因分電氣因素、起火原因分機械設備、起火原因分玩火、起火原因分烤火、起火原因分施工不慎、起火原因分易燃品自燃、瓦斯漏氣或爆炸、起火原因分化學物品、起火原因分燃放爆竹、起火原因分交通事故、起火原因分天然災害、起火原因分遺留火種、起火原因分不明、起火原因分其他,
