編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,嘉義市電動二輪車充電站,嘉義市政府,嘉義縣政府,,,,373,5157,"編號(Id)、,名稱(Site)、,地址(Address)、,坐標(緯度)、,坐標(經度)、,備註(Remark)",
2,臺灣嘉義地方法院104年度預算案,臺灣嘉義地方法院,嘉義縣政府,,,,31,785,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
3,臺灣嘉義地方法院104年度法定預算,臺灣嘉義地方法院,嘉義縣政府,,,,39,880,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
4,嘉義縣違反法令事業單位,嘉義縣社會局,嘉義縣政府,,,,258,1438,項次、事業單位名稱(負責人姓名)、違反法令條款、違反法規內容、處分書文號、處分日期、備註,
5,臺灣嘉義地方法院103年度單位決算,臺灣嘉義地方法院,嘉義縣政府,,,,44,1267,臺灣嘉義地方法院103年度單位決算,
6,臺灣嘉義地方法院會計月報公告,臺灣嘉義地方法院,嘉義縣政府,,,,30,1121,臺灣嘉義地方法院會計月報公告,
7,嘉義縣政府年度施政計畫,嘉義縣政府,嘉義縣政府,,,,59,1429,為利本府重要施政計畫及預算編列緊密配合，每年度開始前請各局處撰寫施政計畫，內含施政目標與重點、預算配合對照表及重要施政計畫等3表件,
8,政府自行研究得獎清冊,嘉義縣政府,嘉義縣政府,,,,42,945,研究計畫名稱、研究單位、研究人員、研究經費、研究期程,
9,嘉義縣公有零售市場名冊,嘉義縣政府,嘉義縣政府,,,,89,1453,鄉鎮市、市集名稱、性質、經營方式、地址,
10,嘉義縣傳統公有市場位置資訊,嘉義縣政府,嘉義縣政府,,,,64,1236,鄉鎮市、市集名稱、性質、經營方式、地址,
11,嘉義縣縣管區域排水,嘉義縣政府,嘉義縣政府,,,,153,1732,鄉(鎮、市)、排水路名稱、排水出口、權責起點、權責終點、備註,
12,嘉義縣轄內抽水站,嘉義縣政府,嘉義縣政府,,,,63,1296,管理單位、水系、抽水站名稱及座標,
13,政府委託研究清冊,嘉義縣政府,嘉義縣政府,,,,35,997,承辦單位、研究計畫名稱、研究計畫摘要概述、研究計畫期間、研究經費、目前執行進度、研究方式,
14,嘉義縣加油站點資訊,嘉義縣政府,嘉義縣政府,,,,115,1513,加油站名稱、地址,
15,各處辦公室電話,嘉義縣政府,嘉義縣政府,,,,44,873,各處辦公室電話－excel,
16,嘉義縣大客車禁行路段,嘉義縣政府,嘉義縣政府,,,,76,1046,縣市別，鄉鎮市區，路線路名，路線樁號，管制通行，路況概述，提報單位，公告日期及文號,
17,嘉義縣大客車行駛應特別注意路段,嘉義縣政府,嘉義縣政府,,,,61,791,縣市別，鄉鎮市區，路線路名，路線樁號，管制通行，路況概述，提報單位，單位來函(或公告函),
18,嘉義縣砂石車、大貨車禁行路段,嘉義縣政府,嘉義縣政府,,,,100,1513,編號，鄉鎮市別，禁行路段，禁行重量，替代道路，禁行時段，備註(總重),
