編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,公告臺灣花蓮地方法院104年度預算案(xml),臺灣花蓮地方法院,花蓮縣政府,,,,28,875,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、委辦經費分析表,
2,公告臺灣花蓮地方法院104年度單位法定預算(xml),臺灣花蓮地方法院,花蓮縣政府,,,,27,637,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表、委辦經費分析表,
3,臺灣高等法院花蓮分院104年度預算案及法定預算 ,臺灣高等法院花蓮分院,花蓮縣政府,,,,37,822,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、歲出按職能及經濟性綜合分類表,
4,公告臺灣花蓮地方法院103年度決算書表(xml)檔,臺灣花蓮地方法院,花蓮縣政府,,,,25,719,歲入來源別決算表等8張書表,
5,公告臺灣花蓮地方法院104年1-5月會計月報(xml)檔,臺灣花蓮地方法院,花蓮縣政府,,,,36,961,104年1-5月會計月報檔(xml),
6,公告臺灣花蓮地方法院104年6月會計月報(xml)檔,臺灣花蓮地方法院,花蓮縣政府,,,,24,627,經費類平衡表等8張表報,
7,臺灣高等法院花蓮分院103年度單位決算,臺灣高等法院花蓮分院,花蓮縣政府,,,,36,1146,臺灣高等法院花蓮分院公告本院103年度單位決算書表,
8,臺灣高等法院花蓮分院104年度1-6月份會計月報,臺灣高等法院花蓮分院,花蓮縣政府,,,,39,1202,臺灣高等法院花蓮分院公告本院104年度1-6月份會計月報檔(XML),
9,臺灣高等法院花蓮分院104年度7月份會計月報,臺灣高等法院花蓮分院,花蓮縣政府,,,,97,488,臺灣高等法院花蓮分院104年度7月份會計月報,
10,臺灣花蓮地方法院104年7月會計月報(XML)檔,臺灣花蓮地方法院,花蓮縣政府,,,,7,489,歲入類平衡表等8張表報,
