編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,福建連江地方法院104年度預算案,福建連江地方法院,連江縣政府,,,,47,1219,福建連江地方法院104年度預算案,
2,福建連江地方法院104年度法定預算,福建連江地方法院,連江縣政府,,,,138,1297,福建連江地方法院104年度法定預算,
3,福建連江地方法院103年度單位預算書,福建連江地方法院,連江縣政府,,,,127,1319,福建連江地方法院103年度單位預算書,
4,福建連江地方法院104年度各月份會計報表,福建連江地方法院,連江縣政府,,,,1057,1687,福建連江地方法院104年度各月份會計報表,
5,福建連江地方法院103年度決算,福建連江地方法院,連江縣政府,,,,43,898,福建連江地方法院103年度決算,
6,福建連江地方法院105年預算案,福建連江地方法院,連江縣政府,,,,39,1023,福建連江地方法院105年預算案,
7,福建連江地方法院檢察署年度預算(按年),福建連江地方檢察署,連江縣政府,,,,292,658,名稱、下載網址,
8,福建連江地方法院檢察署年度決算(按年),福建連江地方檢察署,連江縣政府,,,,185,526,名稱、下載網址,
9,福建連江地方法院檢察署會計月報表(按月),福建連江地方檢察署,連江縣政府,,,,373,872,名稱、下載網址,
10,福建連江地方法院105年度預算書,福建連江地方法院,連江縣政府,,,,72,657,,
11,福建連江地方法院104年度決算,福建連江地方法院,連江縣政府,,,,17,680,福建連江地方法院104年度決算,
12,福建連江地方法院105年度各月會計報告,福建連江地方法院,連江縣政府,,,,362,669,福建連江地方法院105年度各月會計報告,
13,福建連江地方法院106年度預算案,福建連江地方法院,連江縣政府,,,,30,508,福建連江地方法院106年度單位預算案,
14,福建連江地方法院106年度各月會計報告,福建連江地方法院,連江縣政府,,,,0,122,,
15,福建連江地方法院105年度決算書,福建連江地方法院,連江縣政府,,,,0,103,福建連江地方法院105年度決算書,
16,福建連江地方法院106年度法定預算,福建連江地方法院,連江縣政府,,,,0,74,福建連江地方法院106年度法定預算,
17,連江縣各鄉村人口統計資料,連江縣政府,連江縣政府,,,,35,383,鄉別、村別、鄰數、戶數、合計人口數、男-人口數、女-人口數、遷入人口數、遷出人口數、出生人口數、死亡人口數、結婚人口數、離婚人口數,
18,連江縣政府105年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,1,66,議員所提地方建設建議事項處理明細表,
19,連江縣政府104年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,0,64,104年度對議員所提地方建設建議事項處理明細表,
20,連江縣政府103年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,0,53,議員所提地方建設建議事項處理明細表,
21,連江縣政府102年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,0,65,議員所提地方建設建議事項處理明細表,
22,連江縣政府101年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,0,94,連江縣政府101年度對議員所提地方建設建議事項處理明細表,
23,連江縣政府100年度對議員所提地方建設建議事項處理明細表,連江縣政府,連江縣政府,,,,0,66,連江縣政府100年度對議員所提地方建設建議事項處理明細表,
24,連江縣人民團體名冊106年5月,連江縣政府,連江縣政府,,,,7,110,"人民團體稱,核準立案字號,成立日期,理事長負責人,地址,電話,聯絡人,團體類別,任期",
25,連江縣106年6月各鄉村人口數,連江縣政府,連江縣政府,,,,11,100,連江縣106年6月各鄉村人口數,
26,107年度預算案xml(公佈日期：106.09.01) 107年度預算案總說明 doc,福建連江地方法院,連江縣政府,,,,0,80,,
27,福建連江地方法院檢察署偵查終結公告,福建連江地方檢察署,連江縣政府,,,,7,94,名稱、下載網址,
28,連江縣「106年度流感疫苗接種計畫」公費合約醫療院所,連江縣衛生福利局,連江縣政府,,,,21,77,十碼章、醫院名稱、縣市別、行政區、郵遞區號、地址、連絡電話、座標緯度、座標經度、備註,
29,連江縣流感抗病毒藥劑合約配置點,連江縣衛生福利局,連江縣政府,,,,17,81,十碼章、醫院名稱、縣市別、行政區、郵遞區號、地址、聯絡電話、座標緯度、座標經度、備註,
30,107年連江縣春節類流感特別門診表,連江縣衛生福利局,連江縣政府,,,,4,44,,
31,福建連江地方法院107年度法定預算(公佈日期：107.02.23) ,福建連江地方法院,連江縣政府,,,,2,69,款、項、目、節、科目名稱、預算科目編號、人事費、業務費_經、奬補助費_經、債務費、預備金_經、經常支出小計、業務費_資、設備及投資、奬補助費_資、預備金_資、資本支出小計、合計、職能別分類經濟性分類、消費支出_經、債務利息_經、補助地方_經、移轉民間_經、小計_經、資本形成_資、土地購入_資、增資_資、補助地方_資、移轉民間_資、小計_資、總計,
32, 福建連江地方法院107年各月會計報告,福建連江地方法院,連江縣政府,,,,1,100,,
33,連江地方法院107年度各月會計月報表,福建連江地方法院,連江縣政府,,,,3,47,,
34,福建連江地方法院106年度決算書,福建連江地方法院,連江縣政府,,,,0,27,,
