"編號","資料名稱","資料來源","更新頻率","檔案格式","資料連結網址","分類及編號","資料集描述","主要欄位說明","資料集類型","最後更新時間","資料集提供機關","資料量","收錄期間(起)","收錄期間(迄)","授權方式","計費方式","計費說明網址","計費法令依據","資料集說明網址","編碼格式","標籤/關鍵字","建立日期","資料集提供機關聯絡人","資料集提供機關電話","資料集提供機關聯絡人電子郵件","備註"
"1","臺北捷運車站無障礙設施異常公告","臺北大眾捷運股份有限公司","不定期","","https://beta.data.taipei/dataset/detail/metadata?id=d884a9c6-f86c-4854-8da7-e6516ddbe612","交通及通訊","捷運車站無障礙設施異常公告","無障礙設施","原始資料","2018-07-06 22:28:04","臺北大眾捷運股份有限公司","1","","","依政府資料開放授權條款-第1版","無","無","無","無","","無障礙設施","2018-06-12 15:48:07","黃耀儀","02-21812345","e00708@mail.trtc.com.tw",""
"2","臺北市公有零售市場行情","臺北市市場處","每週","CSV","https://beta.data.taipei/dataset/detail/metadata?id=54d9d492-1e2e-40d1-ae7b-fbce6f271bf1","公共資訊","臺北市公有零售市場行情","日期,種類,市場,品名,平均(元/公斤)","原始資料","2018-07-06 18:13:04","臺北市市場處","1843","2018-06-11","2018-06-24","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2017-07-03 10:37:10","翁羽萱","02-25505220-2122","cw-1590@mail.taipei.gov.tw",""
"3","列管後備軍人動態統計表","臺北市政府兵役局","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=a244b6e4-dec8-4654-87c7-7e19609ff4d4","服兵役","列管後備軍人動態統計","軍階,役?,上月列管人數,增加數小計,增加數退伍報到,增加數停役報到,增加數零退報到,增加數遷入,增加數轉役入,增加數其他,減少數小計,減少數遷出,減少數志願服役,減少數轉役出,減少數免役,減少數回役,減少數除役,減少數禁役,減少數死亡,減少數其他,本月列管人數,本月中出國,本月中失蹤人口,本月中失蹤撤銷,本月中回國,本月中區內住變,備註","原始資料","2018-07-06 17:51:20","臺北市政府兵役局","7","","","依政府資料開放授權條款-第1版","免費","無","無","","Big5,utf-8","性平","2015-05-20 11:27:29","卓永平","(02)23654361分機722","aoaj7324@mail.taipei.gov.tw",""
"4","臺北市公司登記報表","臺北市商業處","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=544c7e21-e18a-4904-9f32-15fae2e30acc","公共資訊","臺北市公司登記報表","行政區、行業別、組織別","原始資料","2018-07-06 16:18:14","臺北市商業處","36KB","","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-10-18 09:45:56","陳錦玲","02-27208889-6518","cx_mbx412@mail.taipei.gov.tw",""
"5","臺北市區民活動中心資料","臺北市政府民政局","不定期","ods","https://beta.data.taipei/dataset/detail/metadata?id=afd3899d-2c12-44a6-9dd0-54333644459f","公共資訊","本市各行政區管轄區民活動中心地址","編號(serial_number_1)、區(distrrict)、區活動中心編號(serial_number_2)、區民活動中心名稱(name)、地址(address)","原始資料","2018-07-06 16:06:49","臺北市政府民政局","158","2013-01-01","2016-05-27","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","區民活動中心","2014-12-31 11:48:48","陳怡伊","02-27208889","bca-yychen@mail.taipei.gov.tw",""
"6","臺北市固定里民活動場所資料","臺北市政府民政局","不定期","ods","https://beta.data.taipei/dataset/detail/metadata?id=5ca45420-4a23-41c0-a324-128680f28f92","公共資訊","本市各固定里民活動場所設置地址","編號(serial_number_1)、區(district)、里民活動中心編號(serial_number_2)、里(borough)、地址(address)","原始資料","2018-07-06 16:04:24","臺北市政府民政局","293","2013-01-01","2016-05-27","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","固定里民活動場所","2014-12-31 11:48:07","陳怡伊","02-27208889-6231","bca-yychen@mail.taipei.gov.tw",""
"7","交通事故資料","臺北市政府警察局交通警察大隊","不定期","CSV,ods","https://beta.data.taipei/dataset/detail/metadata?id=2f238b4f-1b27-4085-93e9-d684ef0e2735","交通及通訊","提供臺北市A1及A2類交通事故明細。","發生時間、地點、死傷人數、車種、性別、年齡、天候、速限、道路型態、事故位置。","原始資料","2018-07-06 15:40:03","臺北市政府警察局交通警察大隊","104","2012-01-01","2017-12-31","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","事故,交通事故","2016-04-26 14:41:22","鍾佳紋","02-23752100轉1406","ts821178@police.taipei",""
"8","臺北市固定測速照相地點表","臺北市政府警察局交通警察大隊","不定期","CSV,ods","https://beta.data.taipei/dataset/detail/metadata?id=745b8808-061f-4f5b-9a62-da1590c049a9","交通及通訊","提供臺北市現有車輛超速自動照相設備之設置地點及地點路段之限速值","編號、功能、固定桿、設置地點、轄區、拍攝方向、速限","原始資料","2018-07-06 15:39:27","臺北市政府警察局交通警察大隊","139","2009-01-01","2018-07-06","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","固定測速,固定測速桿,測速","2014-12-31 10:59:08","陳品丞","02-23752100轉1320","ts761155@police.taipei",""
"9","臺北市核准公司設立變更解散清冊","臺北市商業處","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=0a1f284d-e985-4c39-b0b5-53389fbfa6e9","公共資訊","臺北市核准公司設立變更解散清冊","序號、統一編號、公司名稱、公司地址、負責人、設立日期","原始資料","2018-07-06 15:34:05","臺北市商業處","222k","","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2018-01-31 10:00:46","陳錦玲","02-27208889-6518","cx_mbx412@mail.taipei.gov.tw",""
"10","臺北市核准商業設立、變更及歇業登記等異動資料清冊","臺北市商業處","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=5fdefcca-e0a6-41bc-a520-7c8f067caad3","公共資訊","臺北市核准商業設立、變更及歇業登記等異動資料清冊","序號、統一編號、商業名稱、商業地址、組織種類、主營業項目、設立日期","原始資料","2018-07-06 15:30:58","臺北市商業處","428筆","","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2018-01-30 15:25:25","陳錦玲","02-27208889-6518","cx_mbx412@mail.taipei.gov.tw",""
"11","營業場所投保公共意外險清冊","臺北市商業處","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=5880bb98-ab6a-476c-ae55-37564b0d0fc9","休閒旅遊","臺北市營業場所投保公共意外險清冊","序號、統一編號、類別、公司/商號名稱、營業地址、保單到期日","原始資料","2018-07-06 14:55:32","臺北市商業處","2578筆","","2018-06-30","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2016-04-25 15:57:03","杜佳穎","02-27208889-6493","cx_40254@mail.taipei.gov.tw",""
