"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
1,桃園市臨時暨短期照顧服務之服務單位,380120000J 【社會局】,不定期,CSV,委辦單位(臨時及短期照顧服務服務單位)、電話(臨時暨短期照顧服務單位電話)、地址(臨時及短期照顧服務服務單位)、服務對象(臨時暨短期照顧服務單位服務對象)、服務內容(臨時暨短期照顧服務服務內容),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0015aa2e-9b3c-4c1b-8886-74630a007110,生活安全及品質 (144),本市身心障礙者臨時及短期照顧服務聯絡資訊,委辦單位(臨時及短期照顧服務服務單位)、電話(臨時暨短期照顧服務單位電話)、地址(臨時及短期照顧服務服務單位)、服務對象(臨時暨短期照顧服務單位服務對象)、服務內容(臨時暨短期照顧服務服務內容),原始資料,CSV,2018-04-13 11:11:59,380120000J 【社會局】,,,,政府資料開放授權條款－第1版,,,,,Big5,身心障礙者臨時及短期照顧服務,2017-08-18 14:38:42,邱小姐,(03)3322101#6307,10018731@mail.tycg.gov.tw,
2,桃園市登革熱確診個案分布,380140000I 【衛生局】,每月,CSV,分類(境外移入或本土個案)、通報日期(通報日期)、發病日期(發病日期)、確診日期(確診日期)、感染地(感染地)、年齡(年齡)、性別(性別)、國籍(國籍)、地址(地址),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=00405ad6-f02a-4bf5-85ac-dca2fdac822e,就醫 (57),桃園市登革熱確診個案,分類(境外移入或本土個案)、通報日期(通報日期)、發病日期(發病日期)、確診日期(確診日期)、感染地(感染地)、年齡(年齡)、性別(性別)、國籍(國籍)、地址(地址),原始資料,CSV,2018-07-06 16:34:28,380140000I 【衛生局】,,2016-01-01,2018-06-30,政府資料開放授權條款－第1版,,,,,UTF-8,"""個案, 登革熱""",2016-08-12 01:58:53,陳先生,03-3340935#2102,10011191@mail.tycg.gov.tw,
3,桃園市106年補助各區公所推動青年參與在地公共事務計畫,380420000A 【青年事務局】,每年,"""PDF, ODT""","""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0077c5fc-685c-4b78-ac87-42be851d182c,公共資訊 (948),桃園市為全臺最年輕的城市，盱衡市內青年世代公民意識快速崛起，桃園市政府青年事務局規劃於106年與市內各區公所戮力擘劃青年參與機制，以鼓勵在地青年積極參與各行政區之公共事務，期望透過活動參與，厚植地區人才，並將青年的活力及創意有效導入，活絡區域發展，孕育青年成為本市永續發展的動力。,"""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",原始資料,"""PDF, ODT""",2018-05-21 11:02:34,380420000A 【青年事務局】,,,,政府資料開放授權條款－第1版,,,,,""", UTF-8""",補助計畫,2017-05-01 14:17:24,黃士純,(03)4225205#3003,10017355@mail.tycg.gov.tw,
4,桃園市公務出國報告,380220000A 【研究發展考核委員會】,每半年,CSV,編號(序號)、計畫名稱(出國計畫名稱)、計畫主辦機關(出國計畫主辦機關名稱)、前往地區(前往地區)、出國類別(出國類別)、出國期間起(出國期間起)、出國期間迄(國國期間迄)、報告日期(繳交出國報告日期),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0079cd32-4e5f-49ea-97a8-f9ce1aa7333d,公共資訊 (948),桃園市政府及所屬機關學校因公出國，返國後提供出國報告。,編號(序號)、計畫名稱(出國計畫名稱)、計畫主辦機關(出國計畫主辦機關名稱)、前往地區(前往地區)、出國類別(出國類別)、出國期間起(出國期間起)、出國期間迄(國國期間迄)、報告日期(繳交出國報告日期),網路服務,CSV,2018-03-08 12:05:47,380220000A 【研究發展考核委員會】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""公務出國報告, 研考會, 公共資訊""",2015-10-06 03:15:24,塗小姐,03-3322101#6906,10016259@mail.tycg.gov.tw,
5,區公所回饋金相關計畫-華亞,380170000G 【經濟發展局】,每年,CSV,公司名稱、年度、經費來源、額度_元、分配單位、執行單位、用途、執行結果,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=00906420-614a-497c-bd66-8bf470d7ea8f,公共資訊 (948),各區公所回饋金額度,公司名稱、年度、經費來源、額度_元、分配單位、執行單位、用途、執行結果,原始資料,CSV,2017-11-17 14:27:22,380170000G 【經濟發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""經發局, 高榮, 公共資訊""",2017-11-17 13:14:36,毛專員,03-3322101＃5266-5269,083013@mail.tycg.gov.tw,
6,104年各稅稅籍數及實徵稅額統計表-按區別,380260000D 【地方稅務局】,不定期,CSV,區(區)、地價稅_稅籍戶數(地價稅_稅籍戶數)、地價稅_實徵稅額(千元)(地價稅_實徵稅額 千元)、使用牌照稅_車輛數(使用牌照稅_車輛數)、使用牌照稅_實徵稅額(千元)(使用牌照稅_實徵稅額 千元)、土地增值稅_收件數(土地增值稅_收件數)、土地增值稅_實徵稅額(千元)(土地增值稅_實徵稅額 千元 )、契稅_收件數(契稅_收件數)、契稅_實徵稅額(千元)(契稅_實徵稅額 千元),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=00a0f568-37c3-4eff-a3ff-afc772cecc95,公共資訊 (948),104年各稅(包含地價稅、使用牌照稅、土地增值稅及契稅)稅籍數及實徵稅額統計表-按區別,區(區)、地價稅_稅籍戶數(地價稅_稅籍戶數)、地價稅_實徵稅額(千元)(地價稅_實徵稅額 千元)、使用牌照稅_車輛數(使用牌照稅_車輛數)、使用牌照稅_實徵稅額(千元)(使用牌照稅_實徵稅額 千元)、土地增值稅_收件數(土地增值稅_收件數)、土地增值稅_實徵稅額(千元)(土地增值稅_實徵稅額 千元 )、契稅_收件數(契稅_收件數)、契稅_實徵稅額(千元)(契稅_實徵稅額 千元),原始資料,CSV,2018-04-11 14:47:36,380260000D 【地方稅務局】,13,2015-01-01,2015-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""稅籍數, 使用牌照稅, 實徵稅額, 土地增值稅, 地價稅, 契稅""",2017-02-22 17:54:11,陳小姐,03-3326181分機2230,ttod@tytax.gov.tw,
7,桃園市刑事案件,380130000C 【警察局】,不定期,CSV,year(年度)、breau(轄區)、type(案件種類)、h_count(發生數)、a_count(破獲數),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=00b58536-5d2c-4ec7-a7b2-227aedfffc86,生活安全及品質 (144),桃園市警政統計資料，刑事案件發生數及破獲數,year(年度)、breau(轄區)、type(案件種類)、h_count(發生數)、a_count(破獲數),原始資料,CSV,2018-05-21 10:17:09,380130000C 【警察局】,,2000-01-01,2014-12-31,政府資料開放授權條款－第1版,,,,,Big5,警察局,2015-10-01 01:58:17,林先生,03-3363488,fxm900206216@tyhp.gov.tw,
8,桃園市水資源回收中心位置,380250000G 【水務局】,不定期,"""SHX, SBX, DBF, PRJ, SHP, CPG, SBN""",shp資料,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=00c10ec8-bd68-4576-a527-0f7613b6e25a,公共資訊 (948),桃園市水資源回收中心位置,shp資料,原始資料,"""SHX, SBX, DBF, PRJ, SHP, CPG, SBN""",2017-03-30 15:09:48,380250000G 【水務局】,6,,,政府資料開放授權條款－第1版,,,,,Big5,,2017-03-21 15:41:22,陳曉芳,03-3033688#3761,10029775@mail.tycg.gov.tw,
9,桃園市火災出動直升機統計,380320000A 【消防局】,每月,CSV,大隊分隊(桃園市政府消防局依據桃園市政府消防局組織規程設置之大隊分隊)、受理火災案件數(指含有財物損失_無財物損失_誤報_謊報之火災案件。 )、直升機(救災時出動直升機，依據「直轄市縣市消防車輛裝備及其人力配置標準」第3條規定。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=00ec9789-70cc-4f92-8b61-8de8c926ef65,公共資訊 (948),提供桃園市各消防分隊每月火災次數及出動直升機數統計,大隊分隊(桃園市政府消防局依據桃園市政府消防局組織規程設置之大隊分隊)、受理火災案件數(指含有財物損失_無財物損失_誤報_謊報之火災案件。 )、直升機(救災時出動直升機，依據「直轄市縣市消防車輛裝備及其人力配置標準」第3條規定。),原始資料,CSV,2018-06-15 16:09:03,380320000A 【消防局】,750,2017-03-01,2018-05-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 火災""",2017-05-12 09:05:03,羅先生,03-3379119-698,alliechang@mail.tyfd.gov.tw,
10,桃園市總預算歲出政事別預算比較總表,380200000A 【主計處】,每年,CSV,款(款)、項(項)、科目名稱(科目名稱)、本年度預算數_千元(本年度預算數_千元)、上年度預算數_千元(上年度預算數_千元)、前年度決算數_千元(前年度決算數_千元)、本年度與上年度比較_千元(本年度與上年度比較_千元),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=01065a15-38f3-47aa-91a9-f1971ce5d5fc,公共資訊 (948),桃園市總預算歲出政事別預算比較總表,款(款)、項(項)、科目名稱(科目名稱)、本年度預算數_千元(本年度預算數_千元)、上年度預算數_千元(上年度預算數_千元)、前年度決算數_千元(前年度決算數_千元)、本年度與上年度比較_千元(本年度與上年度比較_千元),原始資料,CSV,2018-03-12 09:31:19,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,桃園市總預算歲出政事別預算比較總表,2017-02-09 10:40:25,劉小姐,03-3322101分機5596,10018155@mail.tycg.gov.tw,
