編號,資料集名稱,資料集說明,資料集連結網址,主要欄位說明,使用對象,授權說明網址,更新頻率,計費方式,資料分類,資料量,資料集提供機關,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集空間範圍,資料集語系,資料集類型,關鍵字,備註
1,臺中市年度建築物公共安全檢查稽查數量,都市發展局使用管理科 105年1-7月份聯合稽查家次統計表,http://opendata.taichung.gov.tw/dataset/3af7862f-1a9f-11e8-8f43-00155d021202,主管機關、行業類別\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府都市發展局,郭曜逵,04-22289111 #64012,,中文,rawData,,
2,106年臺中市乳房X光攝影醫院,臺中市乳房X光攝影醫院,http://opendata.taichung.gov.tw/dataset/3ace8c67-1a9f-11e8-8f43-00155d021202,序號、區域、醫事機構名稱、地址、電話\r\n\t\t\r\n\t\t\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,就醫,0,臺中市政府衛生局,林惠華,04-25265394~3392,全臺中市,中文,rawData,乳攝,
3,警察局104年1月份交通事故資料,臺中市警察局104年1月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391311-1b54-11e8-8f43-00155d021202,發生時間、事故類別、市、區、里、鄰、事故地點、鄰近、肇事逃逸、酒駕案件\t,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年,交通事故",
4,警察局105年7月份交通事故資料,臺中市政府警察局105年7月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391dab-1b54-11e8-8f43-00155d021202,臺中市政府警察局105年7月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,9057,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
5,警察局105年4月份交通事故資料,臺中市政府警察局105年4月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391be7-1b54-11e8-8f43-00155d021202,臺中市政府警察局105年4月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8327,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
6,警察局104年3月份交通事故資料,臺中市政府警察局104年3月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b391448-1b54-11e8-8f43-00155d021202,臺中市政府警察局104年3月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8443,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 交通事故",
7,臺中市政府警察局104年4月份交通事故資料,臺中市政府警察局104年4月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b3914e5-1b54-11e8-8f43-00155d021202,臺中市政府警察局104年4月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,8209,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"104年, 4月份, 交通事故",
8,臺中市政府地方稅務局107年歲出預算表,臺中市政府地方稅務局107年歲出預算表,http://opendata.taichung.gov.tw/dataset/319deb4d-b6b0-4080-8748-ceb2de2dee88,本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較,一般民眾,https://data.gov.tw/license,每年,免費,公共資訊,4,臺中市政府地方稅務局,陳淑卿,22585000分機472,全臺中市,中文,rawData,"預算數, 決算數, 107年",
9,臺中市社區大學聯絡資訊,臺中市社區大學聯絡資訊,http://opendata.taichung.gov.tw/dataset/3ac8536f-1a9f-11e8-8f43-00155d021202,社區大學聯絡電話、聯絡地址、網址及行動教室區域,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,求學及進修,0,臺中市政府教育局,洪緯晉,2228-9111-54511,,中文,rawData,社區大學,
10,警察局105年11月份交通事故資料,臺中市政府警察局105年11月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b392017-1b54-11e8-8f43-00155d021202,年、月、日、時、分、縣市、區、死、受傷、2-30、天候、光線、道路類別、速限、道路型態、事故位置、路面鋪裝、路面狀態、路面缺陷、障礙物、視距、號誌種類、號誌動作、分向設施、快車道或一般車道間、快慢車道間、路面邊線、事故類型及型態、主要肇因、受傷程度、主要傷處、保護裝備、行動電話、當事者區分(類別)、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位最初、車輛撞擊部位其他、肇事因素個別、肇事因素主要、肇事逃逸、職業、旅次目的、車種、GPS座標X、GPS座標Y,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"105年, 交通事故",
11,臺中市成立長照2.0社區整體照顧服務體系（A-B-C）行政區域,提供社區整體照顧服務體系服務方式及目前辦理區域,http://opendata.taichung.gov.tw/dataset/1b38fcf2-1b54-11e8-8f43-00155d021202,大甲區社區整體照顧服務體系團隊名單,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,老年安養,7,臺中市政府社會局,陳韋頻,042228911137431,臺中市,中文,rawData,長照ABC,"本報表為歷史資料已無更新,於1070101移撥本市衛生局"
12,臺中市滅火器藥劑更換及充填合格廠商清冊,臺中市滅火器藥劑更換及充填合格廠商清冊,http://opendata.taichung.gov.tw/dataset/271862ed-1dfa-4fca-b46b-4544df1b684e,--,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府消防局,江智獻,04-23811119-458,全臺中市,中文,rawData,滅火器,
