提供機關名稱,資料集名稱,瀏覽人次,下載次數,資料集評分,上架日
文化部,蒙藏補助團體私人情形季報表,"7,472","1,099",100,2013/03/18
文化部,蒙藏用語對照表,"5,080",667,100,2013/03/18
文化部,西藏統計資料,"5,609",829,,2013/03/18
文化部,蒙古統計資料,"4,255",357,,2013/03/18
文化部,蒙藏性別主流化訓練統計表,"4,107",373,80,2013/03/18
中華郵政股份有限公司,3+2碼郵遞區號,"38,102","13,411",60,2016/08/22
中華郵政股份有限公司,縣市鄉鎮中英對照檔,"25,969","29,258",100,2016/08/22
中華郵政股份有限公司,中華郵政全國營業據點,"11,004","4,387",60,2017/04/10
臺灣省諮議會,臺灣省諮議會園區公共廁所資訊,"4,596",562,100,2013/03/19
臺灣省諮議會,臺灣省諮議會園區停車場資訊,"4,497",548,60,2013/03/19
臺灣省諮議會,臺灣省諮議會園區雕像作品資訊,"3,260",282,100,2013/03/19
臺灣省諮議會,臺灣省諮議會園區週邊餐廳資訊,"4,200",652,80,2013/03/19
臺灣省諮議會,臺灣省諮議會歷屆議員名單,"5,150",380,100,2013/03/19
外交部,中華民國駐外單位聯合網站活動訊息,"5,241",579,,2013/03/21
勞動部職業安全衛生署,職業傷病防治中心名單,"8,030","2,178",100,2013/03/21
警政署,各縣(市)警察(分)局暨所屬分駐(派出)所地址資料,"38,699","4,987",20,2014/03/13
國家發展委員會,行政院公報,"12,524","2,059",80,2013/03/26
國家發展委員會,數位機會調查,"9,147","2,445",100,2013/03/26
國家發展委員會,CNS11643中文標準交換碼全字庫(簡稱全字庫),"157,985","14,464",100,
國家發展委員會,iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務,"122,553","5,162",100,
行政院公共工程委員會,當年度工程查核及複查結果,"6,041",444,100,2013/03/26
衛生福利部統計處,死因統計,"42,185","6,683",60,2013/03/26
內政部國土測繪中心,地政事務所轄區圖,"9,475",872,40,2014/03/13
內政部國土測繪中心,村里界圖(TWD97_123分帶),"33,879","4,862",100,2014/03/13
消防署,救援與應變單位點位,"11,348","1,426",20,2014/03/13
經濟部,經濟統計區圖資,"10,888","1,450",100,2013/03/27
經濟部國際貿易局,"貨品基本資料 (統計參考用)","7,600",920,,2013/03/27
經濟部中小企業處,年度中小企業重要統計表,"44,770","6,065",100,2013/03/27
經濟部中小企業處,國家磐石獎,"5,491",625,80,2013/03/27
經濟部中小企業處,創新研究獎,"5,695",740,100,2013/03/27
經濟部中小企業處,小巨人獎,"6,422",770,,2013/03/27
經濟部中央地質調查所,臺灣活動斷層分布圖(五十萬分之一紙圖版更新數值檔),"13,550","1,505",80,2013/03/27
